project_id,project_name,relative_path,filename,file_size_kb,boundary_status
MH-001,Gondkhari,kml/1747849_FC_copy_detailed_land_use_plan_1672983286283_KMl for Upload test.kml,1747849_FC_copy_detailed_land_use_plan_1672983286283_KMl for Upload test.kml,34.93,Candidate identified
MH-001,Gondkhari,kml/970858_FC_KML_1672903420512_Lease limit.kml,970858_FC_KML_1672903420512_Lease limit.kml,4.06,Candidate identified
MH-001,Gondkhari,kml/forest patchwise kml.kml,forest patchwise kml.kml,34.93,Candidate identified
MH-001,Gondkhari,kml/forest_boundary_gondkhari_kml.kml,forest_boundary_gondkhari_kml.kml,101.04,Candidate identified
MH-001,Gondkhari,kml/gondkhari_aoi.kml,gondkhari_aoi.kml,5.21,Candidate identified
MH-001,Gondkhari,kml/main_kml (2).kml,main_kml (2).kml,4.64,Candidate identified
MH-001,Gondkhari,kml/Main_kml.kml,Main_kml.kml,4.64,Candidate identified
MH-002,Gadchiroli,kml/117636865_FC_A_PART_B_KML_1737012873629_kml_4. r_ca land ovali  (990.265 ha).kml,117636865_FC_A_PART_B_KML_1737012873629_kml_4. r_ca land ovali  (990.265 ha).kml,8.34,Candidate identified
MH-002,Gadchiroli,kml/118099787_FC_A_PART_B_KML_1737469518306_annexure-xii_(ca_land_ovali_990.265_ha).kml,118099787_FC_A_PART_B_KML_1737469518306_annexure-xii_(ca_land_ovali_990.265_ha).kml,10.35,Candidate identified
MH-002,Gadchiroli,kml/30227102_FC_KML_1702025392040_FC_937.077_Area_1.kml,30227102_FC_KML_1702025392040_FC_937.077_Area_1.kml,68.83,Candidate identified
MH-002,Gadchiroli,kml/30227102_FC_KML_1725695991133_bound_bbp_plot_kml.kml,30227102_FC_KML_1725695991133_bound_bbp_plot_kml.kml,100.55,Candidate identified
MH-002,Gadchiroli,kml/30227102_FC_KML_1725697028367_bound_bbp_plot_kml.kml,30227102_FC_KML_1725697028367_bound_bbp_plot_kml.kml,100.55,Candidate identified
MH-002,Gadchiroli,kml/30227102_FC_KML_1725699498549_bound_bbp_plot_kml.kml,30227102_FC_KML_1725699498549_bound_bbp_plot_kml.kml,100.55,Candidate identified
MH-002,Gadchiroli,kml/30227102_FC_KML_1726461087850_proposed land_forest.kml,30227102_FC_KML_1726461087850_proposed land_forest.kml,65.60,Candidate identified
MH-002,Gadchiroli,kml/990.265 ha ca land ovali.kml,990.265 ha ca land ovali.kml,8.12,Candidate identified
MH-002,Gadchiroli,kml/annexure-xii_(ca_land_ovali_990.265_ha).kml,annexure-xii_(ca_land_ovali_990.265_ha).kml,10.35,Candidate identified
MH-002,Gadchiroli,kml/annexure_i. diverted_mine_trans_road_1.kml,annexure_i. diverted_mine_trans_road_1.kml,74.11,Candidate identified
MH-002,Gadchiroli,kml/annexure_ix available_nf_land in vicinity_1.kml,annexure_ix available_nf_land in vicinity_1.kml,174.33,Candidate identified
MH-002,Gadchiroli,kml/annexure_xi_bound_bbp_plot_kml.kml,annexure_xi_bound_bbp_plot_kml.kml,100.55,Candidate identified
MH-002,Gadchiroli,kml/annexure_xii_4. r_ca land ovali  (990.265 ha).kml,annexure_xii_4. r_ca land ovali  (990.265 ha).kml,8.34,Candidate identified
MH-002,Gadchiroli,kml/annexure_xv_plu_bhq.kml,annexure_xv_plu_bhq.kml,349.06,Candidate identified
MH-002,Gadchiroli,kml/bound_bbp_plot_kml.kml,bound_bbp_plot_kml.kml,100.55,Candidate identified
MH-002,Gadchiroli,kml/boundary_f2_bhq.kml,boundary_f2_bhq.kml,50.63,Candidate identified
MH-002,Gadchiroli,kml/CA LAND KML OVALI (978.2864HA).kml,CA LAND KML OVALI (978.2864HA).kml,20.16,Candidate identified
MH-002,Gadchiroli,kml/ca land ovali  (990.265 ha).kml,ca land ovali  (990.265 ha).kml,10.35,Candidate identified
MH-002,Gadchiroli,kml/diverted area kml.kml,diverted area kml.kml,73.49,Candidate identified
MH-002,Gadchiroli,kml/kml_1. diverted_mine_trans_road_1.kml,kml_1. diverted_mine_trans_road_1.kml,74.11,Candidate identified
MH-002,Gadchiroli,kml/kml_2. available_nf_land in vicinity_1.kml,kml_2. available_nf_land in vicinity_1.kml,174.33,Candidate identified
MH-002,Gadchiroli,kml/kml_3. bound_bbp_plot_kml.kml,kml_3. bound_bbp_plot_kml.kml,100.55,Candidate identified
MH-002,Gadchiroli,kml/kml_4. r_ca land ovali  (990.265 ha).kml,kml_4. r_ca land ovali  (990.265 ha).kml,8.34,Candidate identified
MH-002,Gadchiroli,kml/kml_5_plu_bhq.kml,kml_5_plu_bhq.kml,349.06,Candidate identified
MH-002,Gadchiroli,kml/non-forest_land_details.kml,non-forest_land_details.kml,174.07,Candidate identified
MH-002,Gadchiroli,kml/OWALI-Chiplun-Ratnagiri.kml,OWALI-Chiplun-Ratnagiri.kml,8.26,Candidate identified
MH-002,Gadchiroli,kml/plu_bhq.kml,plu_bhq.kml,349.06,Candidate identified
MH-002,Gadchiroli,kml/PROPOSED FOREST LAND FOR DIVERSION (937.077HA).kml,PROPOSED FOREST LAND FOR DIVERSION (937.077HA).kml,170.68,Candidate identified
MH-002,Gadchiroli,kml/proposed land_forest.kml,proposed land_forest.kml,65.60,Candidate identified
MH-002,Gadchiroli,kml/r_ca land ovali  (990.265 ha).kml,r_ca land ovali  (990.265 ha).kml,8.34,Candidate identified
MH-003,Bhivpuri PSP,kml/6958645_FC_KML_1696507173302_Bhivpuri Off Stream Open Loop Pumped Storage Project (1800 MW).kml,6958645_FC_KML_1696507173302_Bhivpuri Off Stream Open Loop Pumped Storage Project (1800 MW).kml,116.16,Candidate identified
MH-003,Bhivpuri PSP,kml/6958645_FC_KML_1696943975307_Shirota Range (1).kml,6958645_FC_KML_1696943975307_Shirota Range (1).kml,92.81,Candidate identified
MH-003,Bhivpuri PSP,kml/6958645_FC_KML_1696943975307_Shirota Range.kml,6958645_FC_KML_1696943975307_Shirota Range.kml,92.81,Candidate identified
MH-003,Bhivpuri PSP,kml/6958645_FC_KML_1696944865560_Karjat East Range.kml,6958645_FC_KML_1696944865560_Karjat East Range.kml,26.34,Candidate identified
MH-003,Bhivpuri PSP,kml/6958645_FC_KML_1709635646148_Alibag Division.kml,6958645_FC_KML_1709635646148_Alibag Division.kml,35.88,Candidate identified
MH-003,Bhivpuri PSP,kml/6958645_FC_KML_1709636152974_Pune Division.kml,6958645_FC_KML_1709636152974_Pune Division.kml,85.99,Candidate identified
MH-003,Bhivpuri PSP,kml/77112832_FC_A_PART_B_KML_1718789872433_New CA Land 20.15 Ha-25.04.2024 kml.kml,77112832_FC_A_PART_B_KML_1718789872433_New CA Land 20.15 Ha-25.04.2024 kml.kml,55.02,Candidate identified
MH-003,Bhivpuri PSP,kml/Alt2.kml,Alt2.kml,6.93,Candidate identified
MH-003,Bhivpuri PSP,kml/Alt3.kml,Alt3.kml,6.93,Candidate identified
MH-003,Bhivpuri PSP,kml/Alt4.kml,Alt4.kml,9.03,Candidate identified
MH-003,Bhivpuri PSP,kml/Alt5.kml,Alt5.kml,3.44,Candidate identified
MH-003,Bhivpuri PSP,kml/Alt6.kml,Alt6.kml,4.34,Candidate identified
MH-003,Bhivpuri PSP,kml/Bhivpuri  Alternative-5.kml,Bhivpuri  Alternative-5.kml,7.46,Candidate identified
MH-003,Bhivpuri PSP,kml/Bhivpuri  Alternative-6.kml,Bhivpuri  Alternative-6.kml,29.14,Candidate identified
MH-003,Bhivpuri PSP,kml/Bhivpuri  Alternative-7.kml,Bhivpuri  Alternative-7.kml,9.80,Candidate identified
MH-003,Bhivpuri PSP,kml/Bhivpuri Alt1.kml,Bhivpuri Alt1.kml,9.32,Candidate identified
MH-003,Bhivpuri PSP,kml/Bhivpuri Alt2.kml,Bhivpuri Alt2.kml,26.12,Candidate identified
MH-003,Bhivpuri PSP,kml/Bhivpuri Alt3.kml,Bhivpuri Alt3.kml,13.42,Candidate identified
MH-003,Bhivpuri PSP,kml/Bhivpuri Off Stream Open Loop Pumped Storage Project (1000 MW).kml,Bhivpuri Off Stream Open Loop Pumped Storage Project (1000 MW).kml,119.59,Candidate identified
MH-003,Bhivpuri PSP,kml/BhivpuriPSP.kml,BhivpuriPSP.kml,4.34,Candidate identified
MH-003,Bhivpuri PSP,kml/Final Bhivpuri-PSP.kml,Final Bhivpuri-PSP.kml,123.58,Candidate identified
MH-003,Bhivpuri PSP,kml/Proposed CA Land.kml,Proposed CA Land.kml,2.19,Candidate identified
