project_id,transition,row,col,delta_NDVI,delta_NDWI,delta_NDBI,veg_loss_signal,builtup_signal,water_signal,signal_count,candidate_category,f6_class_name,f6_dynamic_world_class
MH-001,2021->2022,1,22,-0.1237,0.0728,0.1046,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,1,24,-0.0835,0.0677,0.0548,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,2,20,-0.1393,0.0674,0.0861,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,2,21,-0.1680,0.0971,0.1372,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,2,22,-0.1917,0.1001,0.1609,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,2,23,-0.1149,0.0734,0.1051,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,2,24,-0.1284,0.0809,0.1110,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,2,25,-0.0819,0.0613,0.0642,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,2,31,-0.0663,0.0188,0.1010,True,True,False,2,2,vegetation,crops
MH-001,2021->2022,3,16,-0.0778,0.0720,0.0710,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,3,23,-0.0590,0.0477,0.0842,False,True,True,2,2,vegetation,crops
MH-001,2021->2022,3,24,-0.1062,0.0647,0.1131,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,3,25,-0.0643,0.0432,0.0558,True,True,False,2,2,vegetation,crops
MH-001,2021->2022,9,4,-0.0685,0.0809,0.0183,True,False,True,2,2,vegetation,trees
MH-001,2021->2022,9,24,-0.0758,0.0347,0.0825,True,True,False,2,2,unknown,unknown
MH-001,2021->2022,9,25,-0.0858,0.0447,0.1089,True,True,False,2,2,unknown,unknown
MH-001,2021->2022,10,29,-0.1084,0.0577,0.1234,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,10,30,-0.1290,0.0715,0.1373,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,10,31,-0.1093,0.0578,0.1056,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,10,32,-0.0887,0.0534,0.0802,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,10,33,-0.0837,0.0480,0.0570,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,10,34,-0.1223,0.0336,0.0727,True,True,False,2,2,vegetation,crops
MH-001,2021->2022,10,36,-0.0751,0.0219,0.0526,True,True,False,2,2,vegetation,crops
MH-001,2021->2022,11,29,-0.1525,0.0864,0.1732,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,11,30,-0.2321,0.1233,0.2423,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,11,31,-0.2308,0.1294,0.2197,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,11,32,-0.2336,0.1210,0.2000,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,11,33,-0.2032,0.1108,0.1492,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,11,34,-0.2164,0.0839,0.1459,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,11,35,-0.1745,0.0725,0.1200,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,11,36,-0.1294,0.0453,0.0866,True,True,False,2,2,vegetation,crops
MH-001,2021->2022,11,37,-0.0960,0.0279,0.0666,True,True,False,2,2,vegetation,crops
MH-001,2021->2022,12,31,-0.0809,0.0516,0.0897,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,12,32,-0.1045,0.0526,0.1247,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,12,34,-0.0677,0.0231,0.1249,True,True,False,2,2,vegetation,crops
MH-001,2021->2022,12,36,-0.0700,0.0226,0.0959,True,True,False,2,2,vegetation,crops
MH-001,2021->2022,12,51,-0.0748,0.0676,0.0412,True,False,True,2,2,vegetation,crops
MH-001,2021->2022,13,34,0.0862,-0.0576,0.0760,False,True,True,2,2,vegetation,crops
MH-001,2021->2022,13,35,0.1111,-0.0588,0.0626,False,True,True,2,2,vegetation,crops
MH-001,2021->2022,14,34,0.0700,-0.0561,0.0839,False,True,True,2,2,vegetation,crops
MH-001,2021->2022,18,11,-0.0490,0.0520,0.0639,False,True,True,2,2,vegetation,crops
MH-001,2021->2022,18,14,-0.0391,0.0574,0.0506,False,True,True,2,2,vegetation,crops
MH-001,2021->2022,20,40,-0.0894,0.0790,0.0819,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,20,41,-0.1386,0.1140,0.1359,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,21,40,-0.1892,0.1299,0.1602,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,21,41,-0.2777,0.2013,0.2664,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,21,42,-0.0625,0.0483,0.0804,False,True,True,2,2,vegetation,crops
MH-001,2021->2022,22,40,-0.1327,0.0916,0.1131,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,22,41,-0.2352,0.1765,0.2340,True,True,True,3,2,vegetation,crops
MH-001,2021->2022,39,55,-0.1509,0.0844,0.1367,True,True,True,3,2,unknown,unknown
MH-001,2021->2022,39,56,-0.1178,0.0874,0.1285,True,True,True,3,2,unknown,unknown
MH-001,2021->2022,39,57,-0.1161,0.0877,0.1325,True,True,True,3,2,unknown,unknown
MH-001,2021->2022,40,56,-0.0785,0.0548,0.0979,True,True,True,3,2,unknown,unknown
MH-001,2021->2022,40,57,-0.0912,0.0615,0.1061,True,True,True,3,2,unknown,unknown
MH-001,2021->2022,46,56,-0.1104,0.0397,0.0974,True,True,False,2,2,unknown,unknown
MH-001,2021->2022,46,59,-0.1099,0.0709,0.0779,True,True,True,3,2,unknown,unknown
MH-001,2021->2022,47,59,-0.1373,0.0881,0.0914,True,True,True,3,2,unknown,unknown
MH-001,2021->2022,47,60,-0.1488,0.1062,0.1186,True,True,True,3,2,unknown,unknown
MH-001,2021->2022,48,59,-0.1575,0.1020,0.1031,True,True,True,3,2,unknown,unknown
MH-001,2021->2022,48,60,-0.1435,0.0971,0.1109,True,True,True,3,2,unknown,unknown
MH-001,2021->2022,49,46,-0.0669,0.0688,0.0346,True,False,True,2,2,vegetation,shrub_and_scrub
MH-001,2021->2022,49,47,-0.0669,0.0641,0.0270,True,False,True,2,2,vegetation,shrub_and_scrub
MH-001,2021->2022,49,59,-0.0753,0.0522,0.0596,True,True,True,3,2,unknown,unknown
MH-001,2021->2022,49,60,-0.0699,0.0449,0.0509,True,True,False,2,2,unknown,unknown
MH-001,2021->2022,50,47,-0.0679,0.0657,0.0326,True,False,True,2,2,vegetation,shrub_and_scrub
MH-001,2021->2022,54,55,0.0651,-0.0567,0.0489,False,True,True,2,2,unknown,unknown
