cluster_id,project_id,project_name,pixel_count,area_ha,centroid_latitude,centroid_longitude,first_anomaly_year,last_anomaly_year,persistence_count,candidate_level
MH-001_C001,MH-001,Gondkhari,14,1.26,2343634.114152,283907.291947,2021,2025,2,persistent_multi_year
MH-001_C002,MH-001,Gondkhari,110,9.90,2343433.231035,284256.967272,2021,2025,2,persistent_multi_year
MH-001_C003,MH-001,Gondkhari,1,0.09,2343642.685580,283770.149090,2022,2023,1,single_year_candidate
MH-001_C004,MH-001,Gondkhari,1,0.09,2343612.685580,283710.149090,2021,2024,2,persistent_multi_year
MH-001_C005,MH-001,Gondkhari,2,0.18,2343582.685580,283485.149090,2023,2025,1,single_year_candidate
MH-001_C006,MH-001,Gondkhari,11,0.99,2343484.503762,283388.330908,2021,2024,2,persistent_multi_year
MH-001_C007,MH-001,Gondkhari,22,1.98,2343435.412853,283896.967272,2021,2025,2,persistent_multi_year
MH-001_C008,MH-001,Gondkhari,30,2.70,2343344.685580,284668.149090,2021,2025,2,persistent_multi_year
MH-001_C009,MH-001,Gondkhari,1,0.09,2343252.685580,284460.149090,2022,2023,1,single_year_candidate
MH-001_C010,MH-001,Gondkhari,6,0.54,2343207.685580,284600.149090,2024,2025,1,single_year_candidate
MH-001_C011,MH-001,Gondkhari,1,0.09,2343222.685580,283470.149090,2024,2025,1,single_year_candidate
MH-001_C012,MH-001,Gondkhari,1,0.09,2343222.685580,284520.149090,2023,2024,1,single_year_candidate
MH-001_C013,MH-001,Gondkhari,1,0.09,2343192.685580,283860.149090,2022,2023,1,single_year_candidate
MH-001_C014,MH-001,Gondkhari,1,0.09,2343162.685580,283560.149090,2021,2022,1,single_year_candidate
MH-001_C015,MH-001,Gondkhari,1,0.09,2343162.685580,283650.149090,2021,2022,1,single_year_candidate
MH-001_C016,MH-001,Gondkhari,27,2.43,2343067.130025,284416.815756,2021,2025,3,persistent_multi_year
MH-001_C017,MH-001,Gondkhari,4,0.36,2343057.685580,284115.149090,2023,2024,1,single_year_candidate
MH-001_C018,MH-001,Gondkhari,23,2.07,2342968.337754,283667.105611,2023,2024,1,single_year_candidate
MH-001_C019,MH-001,Gondkhari,1,0.09,2343012.685580,284040.149090,2022,2023,1,single_year_candidate
MH-001_C020,MH-001,Gondkhari,1,0.09,2342952.685580,284160.149090,2022,2023,1,single_year_candidate
MH-001_C021,MH-001,Gondkhari,1,0.09,2342952.685580,284220.149090,2022,2023,1,single_year_candidate
MH-001_C022,MH-001,Gondkhari,6,0.54,2342867.685580,284155.149090,2024,2025,1,single_year_candidate
MH-001_C023,MH-001,Gondkhari,2,0.18,2342832.685580,283725.149090,2023,2024,1,single_year_candidate
MH-001_C024,MH-001,Gondkhari,12,1.08,2342752.685580,284522.649090,2024,2025,1,single_year_candidate
MH-001_C025,MH-001,Gondkhari,8,0.72,2342731.435580,284865.149090,2023,2025,1,single_year_candidate
MH-001_C026,MH-001,Gondkhari,105,9.45,2342387.828437,284757.863375,2021,2025,3,persistent_multi_year
MH-001_C027,MH-001,Gondkhari,1,0.09,2342622.685580,284190.149090,2023,2024,1,single_year_candidate
MH-001_C028,MH-001,Gondkhari,1,0.09,2342592.685580,284280.149090,2024,2025,1,single_year_candidate
MH-001_C029,MH-001,Gondkhari,3,0.27,2342542.685580,283990.149090,2023,2024,1,single_year_candidate
MH-001_C030,MH-001,Gondkhari,1,0.09,2342532.685580,284070.149090,2023,2024,1,single_year_candidate
MH-001_C031,MH-001,Gondkhari,17,1.53,2342245.038521,284047.207913,2024,2025,1,single_year_candidate
MH-001_C032,MH-001,Gondkhari,1,0.09,2342352.685580,283890.149090,2023,2024,1,single_year_candidate
MH-001_C033,MH-001,Gondkhari,3,0.27,2342322.685580,284420.149090,2024,2025,1,single_year_candidate
MH-001_C034,MH-001,Gondkhari,9,0.81,2342262.685580,285000.149090,2021,2023,1,single_year_candidate
MH-001_C035,MH-001,Gondkhari,1,0.09,2342292.685580,283710.149090,2024,2025,1,single_year_candidate
MH-001_C036,MH-001,Gondkhari,1,0.09,2342262.685580,283860.149090,2023,2024,1,single_year_candidate
MH-001_C037,MH-001,Gondkhari,1,0.09,2342232.685580,284430.149090,2024,2025,1,single_year_candidate
MH-001_C038,MH-001,Gondkhari,3,0.27,2342222.685580,284630.149090,2021,2022,1,single_year_candidate
MH-001_C039,MH-001,Gondkhari,1,0.09,2342202.685580,283710.149090,2023,2024,1,single_year_candidate
MH-001_C040,MH-001,Gondkhari,2,0.18,2342202.685580,284355.149090,2024,2025,1,single_year_candidate
MH-001_C041,MH-001,Gondkhari,1,0.09,2342172.685580,284880.149090,2022,2023,1,single_year_candidate
MH-001_C042,MH-001,Gondkhari,2,0.18,2342172.685580,285045.149090,2023,2024,1,single_year_candidate
MH-001_C043,MH-001,Gondkhari,3,0.27,2342132.685580,283800.149090,2023,2024,1,single_year_candidate
MH-001_C044,MH-001,Gondkhari,1,0.09,2342142.685580,284370.149090,2024,2025,1,single_year_candidate
MH-001_C045,MH-001,Gondkhari,1,0.09,2342082.685580,284040.149090,2024,2025,1,single_year_candidate
MH-001_C046,MH-001,Gondkhari,1,0.09,2342082.685580,284880.149090,2021,2022,1,single_year_candidate
