project_id,project_name,transition,index,valid_pixels,mean,median,std,p01,p05,p10,p25,p75,p90,p95,p99,min,max
MH-001,Gondkhari,2021->2022,NDVI,9581,0.0343,0.0354,0.0456,-0.1151,-0.0263,-0.0063,0.0170,0.0558,0.0783,0.0955,0.1389,-0.5160,0.2758
MH-001,Gondkhari,2021->2022,NDWI,9581,-0.0182,-0.0245,0.0497,-0.0886,-0.0619,-0.0524,-0.0390,-0.0077,0.0171,0.0358,0.1308,-0.2091,0.7568
MH-001,Gondkhari,2021->2022,NDBI,9581,-0.0138,-0.0160,0.0387,-0.1031,-0.0648,-0.0516,-0.0322,0.0006,0.0214,0.0422,0.1493,-0.2437,0.2677
MH-001,Gondkhari,2022->2023,NDVI,9581,-0.0124,-0.0105,0.0359,-0.1236,-0.0700,-0.0510,-0.0279,0.0055,0.0225,0.0366,0.0902,-0.2450,0.2588
MH-001,Gondkhari,2022->2023,NDWI,9581,-0.0009,-0.0015,0.0290,-0.0791,-0.0434,-0.0327,-0.0164,0.0131,0.0300,0.0440,0.0910,-0.2021,0.2567
MH-001,Gondkhari,2022->2023,NDBI,9581,-0.0127,-0.0114,0.0333,-0.1119,-0.0649,-0.0498,-0.0290,0.0043,0.0217,0.0352,0.0782,-0.2357,0.2468
MH-001,Gondkhari,2023->2024,NDVI,9581,0.0085,0.0059,0.0458,-0.0825,-0.0463,-0.0298,-0.0106,0.0226,0.0416,0.0579,0.2036,-0.2398,0.6277
MH-001,Gondkhari,2023->2024,NDWI,9581,0.0114,0.0179,0.0571,-0.3079,-0.0299,-0.0133,0.0039,0.0308,0.0435,0.0554,0.0862,-0.8224,0.1697
MH-001,Gondkhari,2023->2024,NDBI,9581,0.0086,0.0084,0.0306,-0.0868,-0.0360,-0.0227,-0.0067,0.0249,0.0425,0.0529,0.0874,-0.2081,0.2197
MH-001,Gondkhari,2024->2025,NDVI,9581,-0.0151,-0.0166,0.0444,-0.1184,-0.0753,-0.0612,-0.0392,0.0052,0.0273,0.0446,0.1313,-0.2718,0.4053
MH-001,Gondkhari,2024->2025,NDWI,9581,-0.0144,-0.0134,0.0420,-0.1648,-0.0587,-0.0464,-0.0297,0.0044,0.0212,0.0347,0.0748,-0.5315,0.2638
MH-001,Gondkhari,2024->2025,NDBI,9581,-0.0026,-0.0023,0.0372,-0.1067,-0.0582,-0.0410,-0.0206,0.0157,0.0355,0.0526,0.1026,-0.3988,0.2244
MH-002,Gadchiroli,2021->2022,NDVI,10417,0.0598,0.0639,0.0427,-0.0785,-0.0122,0.0087,0.0361,0.0881,0.1083,0.1217,0.1462,-0.2097,0.2125
MH-002,Gadchiroli,2021->2022,NDWI,10417,-0.0514,-0.0525,0.0200,-0.0911,-0.0803,-0.0739,-0.0639,-0.0407,-0.0287,-0.0199,0.0037,-0.1175,0.2850
MH-002,Gadchiroli,2021->2022,NDBI,10417,-0.0522,-0.0528,0.0382,-0.1359,-0.1112,-0.0983,-0.0764,-0.0308,-0.0094,0.0077,0.0683,-0.2188,0.1397
MH-002,Gadchiroli,2022->2023,NDVI,10417,-0.0498,-0.0476,0.0378,-0.1650,-0.1155,-0.0937,-0.0713,-0.0237,-0.0061,0.0038,0.0265,-0.2628,0.1887
MH-002,Gadchiroli,2022->2023,NDWI,10417,0.0264,0.0244,0.0210,-0.0161,-0.0010,0.0049,0.0142,0.0358,0.0510,0.0633,0.0914,-0.2300,0.1501
MH-002,Gadchiroli,2022->2023,NDBI,10417,0.0359,0.0327,0.0332,-0.0305,-0.0120,-0.0023,0.0140,0.0533,0.0775,0.0955,0.1375,-0.0657,0.2104
MH-002,Gadchiroli,2023->2024,NDVI,10417,-0.0259,-0.0261,0.0381,-0.1179,-0.0863,-0.0701,-0.0476,-0.0054,0.0161,0.0352,0.0889,-0.3046,0.1558
MH-002,Gadchiroli,2023->2024,NDWI,10417,0.0071,0.0071,0.0253,-0.0652,-0.0297,-0.0188,-0.0059,0.0204,0.0330,0.0419,0.0749,-0.1139,0.3122
MH-002,Gadchiroli,2023->2024,NDBI,10417,0.0192,0.0212,0.0391,-0.1095,-0.0462,-0.0252,-0.0012,0.0441,0.0647,0.0771,0.1014,-0.1662,0.1720
MH-002,Gadchiroli,2024->2025,NDVI,10417,0.0273,0.0309,0.0395,-0.0865,-0.0429,-0.0225,0.0054,0.0528,0.0729,0.0862,0.1131,-0.2055,0.1430
MH-002,Gadchiroli,2024->2025,NDWI,10417,-0.0087,-0.0112,0.0277,-0.0592,-0.0474,-0.0403,-0.0267,0.0052,0.0253,0.0403,0.0737,-0.0876,0.4166
MH-002,Gadchiroli,2024->2025,NDBI,10417,-0.0257,-0.0266,0.0334,-0.0990,-0.0775,-0.0665,-0.0476,-0.0063,0.0150,0.0312,0.0627,-0.1511,0.1966
MH-003,Bhivpuri PSP,2021->2022,NDVI,1291,0.0394,0.0403,0.0399,-0.0700,-0.0266,-0.0078,0.0163,0.0644,0.0875,0.1017,0.1332,-0.1611,0.1962
MH-003,Bhivpuri PSP,2021->2022,NDWI,1291,-0.0215,-0.0215,0.0246,-0.0806,-0.0617,-0.0512,-0.0365,-0.0067,0.0076,0.0154,0.0458,-0.1154,0.1182
MH-003,Bhivpuri PSP,2021->2022,NDBI,1291,-0.0722,-0.0677,0.0444,-0.1798,-0.1484,-0.1321,-0.1001,-0.0446,-0.0216,-0.0023,0.0414,-0.2026,0.1430
MH-003,Bhivpuri PSP,2022->2023,NDVI,1291,-0.0464,-0.0445,0.0472,-0.1601,-0.1267,-0.1072,-0.0788,-0.0127,0.0102,0.0261,0.0580,-0.2021,0.1924
MH-003,Bhivpuri PSP,2022->2023,NDWI,1291,0.0190,0.0186,0.0240,-0.0454,-0.0192,-0.0094,0.0044,0.0345,0.0491,0.0585,0.0743,-0.1139,0.0858
MH-003,Bhivpuri PSP,2022->2023,NDBI,1291,0.0408,0.0357,0.0460,-0.0751,-0.0276,-0.0118,0.0115,0.0668,0.1023,0.1247,0.1543,-0.1197,0.1830
MH-003,Bhivpuri PSP,2023->2024,NDVI,1291,0.0022,-0.0003,0.0418,-0.0846,-0.0652,-0.0500,-0.0267,0.0289,0.0595,0.0768,0.1052,-0.1526,0.1279
MH-003,Bhivpuri PSP,2023->2024,NDWI,1291,-0.0056,-0.0019,0.0271,-0.0850,-0.0581,-0.0442,-0.0202,0.0136,0.0253,0.0303,0.0385,-0.1110,0.0657
MH-003,Bhivpuri PSP,2023->2024,NDBI,1291,-0.0078,-0.0092,0.0333,-0.0840,-0.0602,-0.0493,-0.0307,0.0169,0.0374,0.0458,0.0688,-0.1170,0.0922
MH-003,Bhivpuri PSP,2024->2025,NDVI,1291,-0.0745,-0.0279,0.1305,-0.3921,-0.3130,-0.2725,-0.1724,0.0286,0.0636,0.0856,0.1176,-0.4477,0.1883
MH-003,Bhivpuri PSP,2024->2025,NDWI,1291,0.0443,0.0130,0.0853,-0.0860,-0.0635,-0.0504,-0.0250,0.1209,0.1656,0.1835,0.2445,-0.1306,0.2880
MH-003,Bhivpuri PSP,2024->2025,NDBI,1291,0.0286,0.0076,0.0759,-0.0788,-0.0523,-0.0434,-0.0269,0.0694,0.1358,0.1770,0.2718,-0.1573,0.3355
