project_id,project_name,year,validated_boundary_area_ha,polygon_masked_valid_area_ha,valid_pixel_count_30m,pixel_size_meters,area_difference_pct,spatial_integrity_status
MH-001,Gondkhari,2021,862.255,862.290,9581,30m,0.00%,PASS
MH-001,Gondkhari,2022,862.255,862.290,9581,30m,0.00%,PASS
MH-001,Gondkhari,2023,862.255,862.290,9581,30m,0.00%,PASS
MH-001,Gondkhari,2024,862.255,862.290,9581,30m,0.00%,PASS
MH-001,Gondkhari,2025,862.255,862.290,9581,30m,0.00%,PASS
MH-002,Gadchiroli,2021,938.812,937.530,10417,30m,0.14%,PASS
MH-002,Gadchiroli,2022,938.812,937.530,10417,30m,0.14%,PASS
MH-002,Gadchiroli,2023,938.812,937.530,10417,30m,0.14%,PASS
MH-002,Gadchiroli,2024,938.812,937.530,10417,30m,0.14%,PASS
MH-002,Gadchiroli,2025,938.812,937.530,10417,30m,0.14%,PASS
MH-003,Bhivpuri PSP,2021,117.024,116.190,1291,30m,0.71%,PASS
MH-003,Bhivpuri PSP,2022,117.024,116.190,1291,30m,0.71%,PASS
MH-003,Bhivpuri PSP,2023,117.024,116.190,1291,30m,0.71%,PASS
MH-003,Bhivpuri PSP,2024,117.024,116.190,1291,30m,0.71%,PASS
MH-003,Bhivpuri PSP,2025,117.024,116.190,1291,30m,0.71%,PASS
