project_id,project_name,relative_path,filename,extension,file_type,file_size_kb
MH-001,Gondkhari,documents/8 Area Statement.pdf,8 Area Statement.pdf,.pdf,PDF,124.46
MH-001,Gondkhari,documents/87 site inspection.pdf,87 site inspection.pdf,.pdf,PDF,1652.64
MH-001,Gondkhari,documents/9 Land Use Plan.pdf,9 Land Use Plan.pdf,.pdf,PDF,567.80
MH-001,Gondkhari,documents/CADASTRAL MAP 862ha-r.pdf,CADASTRAL MAP 862ha-r.pdf,.pdf,PDF,4248.13
MH-001,Gondkhari,documents/DGPS Report-862 Ha. R2.pdf,DGPS Report-862 Ha. R2.pdf,.pdf,PDF,1975.95
MH-001,Gondkhari,documents/fc_ministry_stage_i_clearance17041797972232_FP_MH_MIN_QRY_408247_2022_1747850_-signed.pdf,fc_ministry_stage_i_clearance17041797972232_FP_MH_MIN_QRY_408247_2022_1747850_-signed.pdf,.pdf,PDF,292.15
MH-001,Gondkhari,documents/fc_ministry_stage_ii_clearance172614801712312_FP_MH_MIN_QRY_408247_2022_1747850_-signed.pdf,fc_ministry_stage_ii_clearance172614801712312_FP_MH_MIN_QRY_408247_2022_1747850_-signed.pdf,.pdf,PDF,289.38
MH-001,Gondkhari,documents/Index Map.pdf,Index Map.pdf,.pdf,PDF,301.15
MH-001,Gondkhari,documents/SIR_Gondkhari.pdf,SIR_Gondkhari.pdf,.pdf,PDF,2630.68
MH-001,Gondkhari,documents/TOPOSHEET MAP red.pdf,TOPOSHEET MAP red.pdf,.pdf,PDF,2158.65
MH-001,Gondkhari,kml/1747849_FC_copy_detailed_land_use_plan_1672983286283_KMl for Upload test.kml,1747849_FC_copy_detailed_land_use_plan_1672983286283_KMl for Upload test.kml,.kml,KML,34.93
MH-001,Gondkhari,kml/970858_FC_KML_1672903420512_Lease limit.kml,970858_FC_KML_1672903420512_Lease limit.kml,.kml,KML,4.06
MH-001,Gondkhari,kml/forest patchwise kml.kml,forest patchwise kml.kml,.kml,KML,34.93
MH-001,Gondkhari,kml/forest_boundary_gondkhari_kml.kml,forest_boundary_gondkhari_kml.kml,.kml,KML,101.04
MH-001,Gondkhari,kml/gondkhari_aoi.kml,gondkhari_aoi.kml,.kml,KML,5.21
MH-001,Gondkhari,kml/main_kml (2).kml,main_kml (2).kml,.kml,KML,4.64
MH-001,Gondkhari,kml/Main_kml.kml,Main_kml.kml,.kml,KML,4.64
MH-002,Gadchiroli,documents/1. topo map.pdf,1. topo map.pdf,.pdf,PDF,5063.82
MH-002,Gadchiroli,documents/2. site inspection report.pdf,2. site inspection report.pdf,.pdf,PDF,443.31
MH-002,Gadchiroli,documents/3. dgps_map.pdf,3. dgps_map.pdf,.pdf,PDF,4610.64
MH-002,Gadchiroli,documents/4. forest compartment map.pdf,4. forest compartment map.pdf,.pdf,PDF,4411.68
MH-002,Gadchiroli,documents/6.proposed land use plan.pdf,6.proposed land use plan.pdf,.pdf,PDF,1143.86
MH-002,Gadchiroli,documents/8. google image map.pdf,8. google image map.pdf,.pdf,PDF,281.31
MH-002,Gadchiroli,documents/9. topomap_showing non-forest land within vicinity.pdf,9. topomap_showing non-forest land within vicinity.pdf,.pdf,PDF,1286.69
MH-002,Gadchiroli,documents/Area_Statement.pdf,Area_Statement.pdf,.pdf,PDF,372.62
MH-002,Gadchiroli,documents/dgps map.pdf,dgps map.pdf,.pdf,PDF,2365.92
MH-002,Gadchiroli,documents/DGPS_Map.pdf,DGPS_Map.pdf,.pdf,PDF,2952.02
MH-002,Gadchiroli,documents/fc_ministry_stage_i_clearance174703736322512_FP_MH_IND_454750_2023_30228292_-signed.pdf,fc_ministry_stage_i_clearance174703736322512_FP_MH_IND_454750_2023_30228292_-signed.pdf,.pdf,PDF,248.68
MH-002,Gadchiroli,documents/fc_ministry_stage_ii_clearance177626169314015_FP_MH_IND_454750_2023_30228292_-signed.pdf,fc_ministry_stage_ii_clearance177626169314015_FP_MH_IND_454750_2023_30228292_-signed.pdf,.pdf,PDF,246.94
MH-002,Gadchiroli,documents/forest compartment map.pdf,forest compartment map.pdf,.pdf,PDF,729.42
MH-002,Gadchiroli,documents/google image map.pdf,google image map.pdf,.pdf,PDF,281.31
MH-002,Gadchiroli,documents/index map_ca.pdf,index map_ca.pdf,.pdf,PDF,413.35
MH-002,Gadchiroli,documents/Index_Map_CA.pdf,Index_Map_CA.pdf,.pdf,PDF,199.38
MH-002,Gadchiroli,documents/Justification_Project_Note.pdf,Justification_Project_Note.pdf,.pdf,PDF,473.36
MH-002,Gadchiroli,documents/Nodal SIR 937 077 ha.pdf,Nodal SIR 937 077 ha.pdf,.pdf,PDF,2651.57
MH-002,Gadchiroli,documents/proposed land use plan.pdf,proposed land use plan.pdf,.pdf,PDF,1143.86
MH-002,Gadchiroli,documents/topo map.pdf,topo map.pdf,.pdf,PDF,1549.64
MH-002,Gadchiroli,documents/topo_map_buffer_5km.pdf,topo_map_buffer_5km.pdf,.pdf,PDF,1286.69
MH-002,Gadchiroli,kml/117636865_FC_A_PART_B_KML_1737012873629_kml_4. r_ca land ovali  (990.265 ha).kml,117636865_FC_A_PART_B_KML_1737012873629_kml_4. r_ca land ovali  (990.265 ha).kml,.kml,KML,8.34
MH-002,Gadchiroli,kml/118099787_FC_A_PART_B_KML_1737469518306_annexure-xii_(ca_land_ovali_990.265_ha).kml,118099787_FC_A_PART_B_KML_1737469518306_annexure-xii_(ca_land_ovali_990.265_ha).kml,.kml,KML,10.35
MH-002,Gadchiroli,kml/30227102_FC_KML_1702025392040_FC_937.077_Area_1.kml,30227102_FC_KML_1702025392040_FC_937.077_Area_1.kml,.kml,KML,68.83
MH-002,Gadchiroli,kml/30227102_FC_KML_1725695991133_bound_bbp_plot_kml.kml,30227102_FC_KML_1725695991133_bound_bbp_plot_kml.kml,.kml,KML,100.55
MH-002,Gadchiroli,kml/30227102_FC_KML_1725697028367_bound_bbp_plot_kml.kml,30227102_FC_KML_1725697028367_bound_bbp_plot_kml.kml,.kml,KML,100.55
MH-002,Gadchiroli,kml/30227102_FC_KML_1725699498549_bound_bbp_plot_kml.kml,30227102_FC_KML_1725699498549_bound_bbp_plot_kml.kml,.kml,KML,100.55
MH-002,Gadchiroli,kml/30227102_FC_KML_1726461087850_proposed land_forest.kml,30227102_FC_KML_1726461087850_proposed land_forest.kml,.kml,KML,65.60
MH-002,Gadchiroli,kml/990.265 ha ca land ovali.kml,990.265 ha ca land ovali.kml,.kml,KML,8.12
MH-002,Gadchiroli,kml/annexure-xii_(ca_land_ovali_990.265_ha).kml,annexure-xii_(ca_land_ovali_990.265_ha).kml,.kml,KML,10.35
MH-002,Gadchiroli,kml/annexure_i. diverted_mine_trans_road_1.kml,annexure_i. diverted_mine_trans_road_1.kml,.kml,KML,74.11
