feature_name,importance_score,predictive_association_note
dw_crops,0.235473,Predictive feature association score (Non-causal)
B11,0.090322,Predictive feature association score (Non-causal)
dw_built,0.086564,Predictive feature association score (Non-causal)
dw_trees,0.082627,Predictive feature association score (Non-causal)
dw_shrub_and_scrub,0.056009,Predictive feature association score (Non-causal)
NDVI,0.053784,Predictive feature association score (Non-causal)
B2,0.052038,Predictive feature association score (Non-causal)
NDBI,0.050682,Predictive feature association score (Non-causal)
B8,0.048999,Predictive feature association score (Non-causal)
B12,0.048265,Predictive feature association score (Non-causal)
NDWI,0.044997,Predictive feature association score (Non-causal)
B3,0.044350,Predictive feature association score (Non-causal)
B4,0.039333,Predictive feature association score (Non-causal)
dynamic_world_confidence,0.038104,Predictive feature association score (Non-causal)
dw_bare,0.028452,Predictive feature association score (Non-causal)
dw_grass,0.000000,Predictive feature association score (Non-causal)
