historical_year,cnn_spatial_split,total_samples,positive_samples,negative_samples,positive_prevalence
2021,cnn_train,10034,1246,8788,0.124178
2021,cnn_val,1335,132,1203,0.098876
2021,cnn_test,1651,255,1396,0.154452
2022,cnn_train,10089,1254,8835,0.124294
2022,cnn_val,1278,116,1162,0.090767
2022,cnn_test,1641,266,1375,0.162096
2023,cnn_train,9940,1233,8707,0.124044
2023,cnn_val,1269,107,1162,0.084318
2023,cnn_test,1630,263,1367,0.16135
2024,cnn_train,9993,1235,8758,0.123587
2024,cnn_val,1317,124,1193,0.094153
2024,cnn_test,1569,232,1337,0.147865
2025,cnn_train,9859,1166,8693,0.118268
2025,cnn_val,1421,203,1218,0.142857
2025,cnn_test,1630,251,1379,0.153988
