project_id,historical_year,cnn_spatial_split,total_samples,positive_samples,negative_samples,positive_prevalence
MH-001,2021,cnn_train,2179,168,2011,0.0771
MH-001,2021,cnn_val,561,45,516,0.080214
MH-001,2021,cnn_test,896,191,705,0.21317
MH-001,2022,cnn_train,2218,172,2046,0.077547
MH-001,2022,cnn_val,504,32,472,0.063492
MH-001,2022,cnn_test,879,202,677,0.229807
MH-001,2023,cnn_train,2116,160,1956,0.075614
MH-001,2023,cnn_val,495,29,466,0.058586
MH-001,2023,cnn_test,887,201,686,0.226607
MH-001,2024,cnn_train,2203,160,2043,0.072628
MH-001,2024,cnn_val,540,39,501,0.072222
MH-001,2024,cnn_test,824,169,655,0.205097
MH-001,2025,cnn_train,2250,168,2082,0.074667
MH-001,2025,cnn_val,647,122,525,0.188563
MH-001,2025,cnn_test,878,190,688,0.216401
MH-002,2021,cnn_train,6934,849,6085,0.12244
MH-002,2021,cnn_val,765,87,678,0.113725
MH-002,2021,cnn_test,639,64,575,0.100156
MH-002,2022,cnn_train,6933,846,6087,0.122025
MH-002,2022,cnn_val,763,84,679,0.110092
MH-002,2022,cnn_test,647,64,583,0.098918
MH-002,2023,cnn_train,6903,836,6067,0.121107
MH-002,2023,cnn_val,762,78,684,0.102362
MH-002,2023,cnn_test,638,62,576,0.097179
MH-002,2024,cnn_train,6870,842,6028,0.122562
MH-002,2024,cnn_val,767,85,682,0.110821
MH-002,2024,cnn_test,638,63,575,0.098746
MH-002,2025,cnn_train,6799,832,5967,0.122371
MH-002,2025,cnn_val,763,81,682,0.10616
MH-002,2025,cnn_test,630,61,569,0.096825
MH-003,2021,cnn_train,921,229,692,0.248643
MH-003,2021,cnn_val,9,0,9,0.0
MH-003,2021,cnn_test,116,0,116,0.0
MH-003,2022,cnn_train,938,236,702,0.251599
MH-003,2022,cnn_val,11,0,11,0.0
MH-003,2022,cnn_test,115,0,115,0.0
MH-003,2023,cnn_train,921,237,684,0.257329
MH-003,2023,cnn_val,12,0,12,0.0
MH-003,2023,cnn_test,105,0,105,0.0
MH-003,2024,cnn_train,920,233,687,0.253261
MH-003,2024,cnn_val,10,0,10,0.0
MH-003,2024,cnn_test,107,0,107,0.0
MH-003,2025,cnn_train,810,166,644,0.204938
MH-003,2025,cnn_val,11,0,11,0.0
MH-003,2025,cnn_test,122,0,122,0.0
