operating_threshold,eval_split,f1,precision,recall,balanced_accuracy
0.1,validation,0.1551,0.0913,0.5161,0.4629
0.15,validation,0.1533,0.0915,0.4721,0.4668
0.2,validation,0.1507,0.0911,0.4355,0.4683
0.25,validation,0.1477,0.0904,0.4032,0.4686
0.3,validation,0.1478,0.0917,0.3798,0.4740
0.35,validation,0.1474,0.0927,0.3592,0.4778
0.4,validation,0.1467,0.0939,0.3358,0.4818
0.45,validation,0.1370,0.0891,0.2962,0.4742
0.5,validation,0.1271,0.0843,0.2581,0.4681
0.1,test_selected_once,0.2834,0.1740,0.7624,0.5467
