error_type,sample_id,project_id,year,latitude,longitude,target,cnn_probability,xgboost_probability
Top False Positive,MH-001_2022_R009_C047,MH-001,2022,21.179445,78.925397,0,0.982954,1.4e-05
Top False Positive,MH-003_2022_R138_C225,MH-003,2022,18.912456,73.503166,0,0.982903,1.4e-05
Top False Positive,MH-002_2021_R074_C173,MH-002,2021,19.605327,80.37959,0,0.981854,1.4e-05
Top False Positive,MH-002_2022_R080_C175,MH-002,2022,19.60371,80.380129,0,0.980372,1.4e-05
Top False Positive,MH-001_2022_R008_C046,MH-001,2022,21.179714,78.925127,0,0.979971,1.4e-05
Top False Positive,MH-002_2024_R073_C174,MH-002,2024,19.605596,80.379859,0,0.979612,1.4e-05
Top False Positive,MH-002_2024_R074_C174,MH-002,2024,19.605327,80.379859,0,0.978182,1.4e-05
Top False Positive,MH-002_2022_R074_C174,MH-002,2022,19.605327,80.379859,0,0.975561,1.4e-05
Top False Positive,MH-002_2023_R074_C173,MH-002,2023,19.605327,80.37959,0,0.975392,1.4e-05
Top False Positive,MH-002_2025_R098_C176,MH-002,2025,19.598859,80.380398,0,0.975353,1.4e-05
Top False Negative,MH-001_2021_R026_C017,MH-001,2021,21.174863,78.917312,1,8.7e-05,1.4e-05
Top False Negative,MH-001_2025_R024_C014,MH-001,2025,21.175402,78.916504,1,0.000185,1.4e-05
Top False Negative,MH-001_2025_R026_C014,MH-001,2025,21.174863,78.916504,1,0.000193,1.4e-05
Top False Negative,MH-001_2021_R024_C017,MH-001,2021,21.175402,78.917312,1,0.0002,1.4e-05
Top False Negative,MH-001_2021_R026_C014,MH-001,2021,21.174863,78.916504,1,0.00022,1.4e-05
Top False Negative,MH-001_2021_R026_C016,MH-001,2021,21.174863,78.917043,1,0.000319,1.4e-05
Top False Negative,MH-001_2021_R023_C017,MH-001,2021,21.175672,78.917312,1,0.000354,1.4e-05
Top False Negative,MH-001_2025_R025_C013,MH-001,2025,21.175133,78.916234,1,0.000365,1.4e-05
Top False Negative,MH-001_2025_R024_C013,MH-001,2025,21.175402,78.916234,1,0.000407,1.4e-05
Top False Negative,MH-001_2021_R024_C014,MH-001,2021,21.175402,78.916504,1,0.000426,1.4e-05
