spatial_block,project_id,total_samples,positive_samples,prevalence,cnn_pr_auc,xgboost_pr_auc,cnn_f1,xgboost_f1,cnn_precision,cnn_recall,cnn_balanced_accuracy,block_winner
MH-001_C0,MH-001,54,4,0.074074,0.2146,0.0741,0.2667,0.0000,0.1818,0.5000,0.6600,CNN
MH-001_C1,MH-001,497,39,0.078471,0.0499,0.0785,0.0225,0.0000,0.0144,0.0513,0.3761,XGBoost
MH-001_C2,MH-001,712,110,0.154494,0.1221,0.1545,0.1352,0.0000,0.0909,0.2636,0.3910,XGBoost
MH-001_C3,MH-001,565,58,0.102655,0.2151,0.1027,0.2412,0.0000,0.1371,1.0000,0.6400,CNN
MH-001_C4,MH-001,617,170,0.275527,0.3050,0.2755,0.4196,0.0000,0.2809,0.8294,0.5109,CNN
MH-001_C5,MH-001,710,267,0.376056,0.4126,0.3760,0.5344,0.0218,0.3881,0.8577,0.5214,CNN
MH-001_C6,MH-001,639,176,0.275430,0.3437,0.2754,0.4710,0.0000,0.3410,0.7614,0.6010,CNN
MH-001_C7,MH-001,570,129,0.226316,0.5620,0.2263,0.5560,0.0000,0.3851,1.0000,0.7664,CNN
MH-002_C14,MH-002,2237,314,0.140367,0.1491,0.1404,0.2390,0.0000,0.1414,0.7707,0.5034,CNN
MH-002_C15,MH-002,955,0,0.000000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,1.0000,No Positives
MH-003_C14,MH-003,242,0,0.000000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,1.0000,No Positives
MH-003_C15,MH-003,323,0,0.000000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,1.0000,No Positives
