sample_id,project_id,year,center_latitude,center_longitude,target,feature83_membership,feature86_membership,cnn_spatial_split,spatial_block
MH-003_2021_R008_C078,MH-003,2021,18.947491,73.46355,0,False,True,cnn_train,MH-003_C5
MH-003_2021_R011_C019,MH-003,2021,18.946682,73.44765,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R011_C020,MH-003,2021,18.946682,73.44792,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R012_C018,MH-003,2021,18.946413,73.447381,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R012_C020,MH-003,2021,18.946413,73.44792,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R012_C021,MH-003,2021,18.946413,73.448189,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R012_C022,MH-003,2021,18.946413,73.448459,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R012_C024,MH-003,2021,18.946413,73.448997,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R012_C025,MH-003,2021,18.946413,73.449267,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R012_C026,MH-003,2021,18.946413,73.449536,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R012_C027,MH-003,2021,18.946413,73.449806,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R013_C018,MH-003,2021,18.946143,73.447381,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R013_C020,MH-003,2021,18.946143,73.44792,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R013_C021,MH-003,2021,18.946143,73.448189,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R013_C022,MH-003,2021,18.946143,73.448459,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R013_C023,MH-003,2021,18.946143,73.448728,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R013_C025,MH-003,2021,18.946143,73.449267,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R013_C026,MH-003,2021,18.946143,73.449536,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R013_C027,MH-003,2021,18.946143,73.449806,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R013_C028,MH-003,2021,18.946143,73.450075,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R013_C076,MH-003,2021,18.946143,73.463011,0,False,True,cnn_train,MH-003_C5
MH-003_2021_R014_C018,MH-003,2021,18.945874,73.447381,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R014_C019,MH-003,2021,18.945874,73.44765,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R014_C020,MH-003,2021,18.945874,73.44792,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R014_C021,MH-003,2021,18.945874,73.448189,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R014_C022,MH-003,2021,18.945874,73.448459,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R014_C023,MH-003,2021,18.945874,73.448728,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R014_C025,MH-003,2021,18.945874,73.449267,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R014_C026,MH-003,2021,18.945874,73.449536,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R014_C027,MH-003,2021,18.945874,73.449806,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R014_C028,MH-003,2021,18.945874,73.450075,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R014_C076,MH-003,2021,18.945874,73.463011,0,False,True,cnn_train,MH-003_C5
MH-003_2021_R015_C017,MH-003,2021,18.945604,73.447111,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R015_C024,MH-003,2021,18.945604,73.448997,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R015_C025,MH-003,2021,18.945604,73.449267,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R015_C026,MH-003,2021,18.945604,73.449536,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R015_C027,MH-003,2021,18.945604,73.449806,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R015_C028,MH-003,2021,18.945604,73.450075,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R015_C075,MH-003,2021,18.945604,73.462742,0,False,True,cnn_train,MH-003_C5
MH-003_2021_R016_C019,MH-003,2021,18.945335,73.44765,1,False,True,cnn_train,MH-003_C1
MH-003_2021_R016_C020,MH-003,2021,18.945335,73.44792,1,False,True,cnn_train,MH-003_C1
MH-003_2021_R016_C021,MH-003,2021,18.945335,73.448189,1,False,True,cnn_train,MH-003_C1
MH-003_2021_R016_C022,MH-003,2021,18.945335,73.448459,1,False,True,cnn_train,MH-003_C1
MH-003_2021_R016_C023,MH-003,2021,18.945335,73.448728,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R016_C075,MH-003,2021,18.945335,73.462742,0,False,True,cnn_train,MH-003_C5
MH-003_2021_R017_C010,MH-003,2021,18.945065,73.445225,0,False,True,cnn_train,MH-003_C0
MH-003_2021_R017_C014,MH-003,2021,18.945065,73.446303,0,False,True,cnn_train,MH-003_C0
MH-003_2021_R017_C015,MH-003,2021,18.945065,73.446572,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R017_C016,MH-003,2021,18.945065,73.446842,0,False,True,cnn_train,MH-003_C1
MH-003_2021_R017_C017,MH-003,2021,18.945065,73.447111,0,False,True,cnn_train,MH-003_C1
