experiment_id,held_out_project,band_feature,train_projects_mean,held_out_project_mean,mean_shift_absolute,train_projects_std,held_out_project_std
Experiment A,MH-001,B2,0.053726,0.062498,0.008772,0.014818,0.016795
Experiment A,MH-001,B3,0.071635,0.083039,0.011404,0.018614,0.019323
Experiment A,MH-001,B4,0.083363,0.099732,0.016369,0.031,0.031367
Experiment A,MH-001,B8,0.206002,0.201381,0.004621,0.030339,0.032483
Experiment A,MH-001,B11,0.231616,0.247957,0.016341,0.063423,0.056851
Experiment A,MH-001,B12,0.157136,0.179666,0.02253,0.058671,0.05325
Experiment B,MH-002,B2,0.061182,0.053383,0.007799,0.01636,0.014938
Experiment B,MH-002,B3,0.081433,0.071136,0.010297,0.019137,0.018733
Experiment B,MH-002,B4,0.097183,0.08281,0.014373,0.031529,0.031058
Experiment B,MH-002,B8,0.203915,0.205155,0.00124,0.031157,0.031007
Experiment B,MH-002,B11,0.246045,0.230635,0.01541,0.057756,0.063722
Experiment B,MH-002,B12,0.17606,0.15638,0.019681,0.054393,0.058894
Experiment C,MH-003,B2,0.056173,0.056329,0.000156,0.016063,0.013515
Experiment C,MH-003,B3,0.074784,0.07551,0.000726,0.019675,0.017118
Experiment C,MH-003,B4,0.088024,0.087741,0.000283,0.032105,0.030259
Experiment C,MH-003,B8,0.204013,0.212776,0.008763,0.03146,0.023912
Experiment C,MH-003,B11,0.236029,0.238618,0.00259,0.062187,0.06024
Experiment C,MH-003,B12,0.163582,0.162674,0.000908,0.058203,0.05628
