experiment_id,held_out_project,error_type,sample_id,year,latitude,longitude,target,cnn_probability,xgboost_probability
Experiment A,MH-001,Top False Positive,MH-001_2024_R165_C050,2024,21.137404,78.926205,0,0.979796,0.558329
Experiment A,MH-001,Top False Positive,MH-001_2024_R165_C047,2024,21.137404,78.925397,0,0.979615,0.301098
Experiment A,MH-001,Top False Positive,MH-001_2024_R127_C036,2024,21.147644,78.922433,0,0.973222,0.208694
Experiment A,MH-001,Top False Positive,MH-001_2024_R170_C050,2024,21.136056,78.926205,0,0.972553,0.220985
Experiment A,MH-001,Top False Positive,MH-001_2024_R126_C034,2024,21.147914,78.921894,0,0.970863,0.202638
Experiment A,MH-001,Top False Negative,MH-001_2022_R016_C008,2022,21.177558,78.914887,1,4e-06,0.553327
Experiment A,MH-001,Top False Negative,MH-001_2022_R022_C039,2022,21.175941,78.923241,1,5e-06,0.210483
Experiment A,MH-001,Top False Negative,MH-001_2025_R023_C041,2025,21.175672,78.92378,1,2.2e-05,0.355635
Experiment A,MH-001,Top False Negative,MH-001_2021_R147_C035,2021,21.142254,78.922163,1,3.2e-05,0.703965
Experiment A,MH-001,Top False Negative,MH-001_2022_R011_C046,2022,21.178906,78.925127,1,3.4e-05,0.282948
Experiment B,MH-002,Top False Positive,MH-002_2021_R060_C117,2021,19.6091,80.364498,0,0.988846,0.520018
Experiment B,MH-002,Top False Positive,MH-002_2021_R060_C028,2021,19.6091,80.340513,0,0.988679,0.389971
Experiment B,MH-002,Top False Positive,MH-002_2021_R060_C029,2021,19.6091,80.340783,0,0.988211,0.511416
Experiment B,MH-002,Top False Positive,MH-002_2021_R060_C030,2021,19.6091,80.341052,0,0.987909,0.465894
Experiment B,MH-002,Top False Positive,MH-002_2021_R060_C116,2021,19.6091,80.364229,0,0.987463,0.13116
Experiment B,MH-002,Top False Negative,MH-002_2024_R127_C050,2024,19.591044,80.346442,1,2.4e-05,0.053336
Experiment B,MH-002,Top False Negative,MH-002_2024_R126_C030,2024,19.591313,80.341052,1,2.8e-05,0.106725
Experiment B,MH-002,Top False Negative,MH-002_2025_R040_C059,2025,19.61449,80.348867,1,3.9e-05,0.318775
Experiment B,MH-002,Top False Negative,MH-002_2025_R015_C040,2025,19.621227,80.343747,1,4.3e-05,0.567068
Experiment B,MH-002,Top False Negative,MH-002_2024_R126_C031,2024,19.591313,80.341322,1,5.3e-05,0.009725
Experiment C,MH-003,Top False Positive,MH-003_2022_R042_C081,2022,18.938328,73.464359,0,0.986544,0.397129
Experiment C,MH-003,Top False Positive,MH-003_2022_R042_C080,2022,18.938328,73.464089,0,0.984682,0.67338
Experiment C,MH-003,Top False Positive,MH-003_2022_R042_C082,2022,18.938328,73.464628,0,0.984542,0.644522
Experiment C,MH-003,Top False Positive,MH-003_2022_R042_C065,2022,18.938328,73.460047,0,0.981136,0.403276
Experiment C,MH-003,Top False Positive,MH-003_2022_R042_C064,2022,18.938328,73.459777,0,0.980567,0.410541
Experiment C,MH-003,Top False Negative,MH-003_2023_R023_C015,2023,18.943448,73.446572,1,0.002994,0.626445
Experiment C,MH-003,Top False Negative,MH-003_2023_R035_C021,2023,18.940214,73.448189,1,0.008563,0.328543
Experiment C,MH-003,Top False Negative,MH-003_2024_R017_C022,2024,18.945065,73.448459,1,0.009392,0.383289
Experiment C,MH-003,Top False Negative,MH-003_2023_R037_C021,2023,18.939675,73.448189,1,0.011269,0.658585
Experiment C,MH-003,Top False Negative,MH-003_2023_R037_C019,2023,18.939675,73.44765,1,0.015262,0.736868
