patch_index,sample_id,project_id,project_name,year,center_row,center_col,center_latitude,center_longitude,spatial_block,original_feature6_split,cnn_spatial_split,candidate_category,target
0,MH-001_2021_R007_C007,MH-001,Gondkhari,2021,7,7,21.179984,78.914617,MH-001_C0,train,cnn_test,2,1
1,MH-001_2021_R007_C008,MH-001,Gondkhari,2021,7,8,21.179984,78.914887,MH-001_C1,train,cnn_test,1,0
2,MH-001_2021_R007_C009,MH-001,Gondkhari,2021,7,9,21.179984,78.915156,MH-001_C1,train,cnn_test,0,0
3,MH-001_2021_R007_C010,MH-001,Gondkhari,2021,7,10,21.179984,78.915426,MH-001_C1,train,cnn_test,0,0
4,MH-001_2021_R007_C011,MH-001,Gondkhari,2021,7,11,21.179984,78.915695,MH-001_C1,train,cnn_test,0,0
5,MH-001_2021_R007_C012,MH-001,Gondkhari,2021,7,12,21.179984,78.915965,MH-001_C1,train,cnn_test,0,0
6,MH-001_2021_R007_C013,MH-001,Gondkhari,2021,7,13,21.179984,78.916234,MH-001_C1,train,cnn_test,1,0
7,MH-001_2021_R007_C019,MH-001,Gondkhari,2021,7,19,21.179984,78.917851,MH-001_C2,train,cnn_test,2,1
8,MH-001_2021_R007_C020,MH-001,Gondkhari,2021,7,20,21.179984,78.918121,MH-001_C2,train,cnn_test,2,1
9,MH-001_2021_R007_C021,MH-001,Gondkhari,2021,7,21,21.179984,78.91839,MH-001_C3,train,cnn_test,1,0
10,MH-001_2021_R007_C022,MH-001,Gondkhari,2021,7,22,21.179984,78.91866,MH-001_C3,train,cnn_test,1,0
11,MH-001_2021_R007_C023,MH-001,Gondkhari,2021,7,23,21.179984,78.918929,MH-001_C3,train,cnn_test,1,0
12,MH-001_2021_R007_C024,MH-001,Gondkhari,2021,7,24,21.179984,78.919199,MH-001_C3,train,cnn_test,1,0
13,MH-001_2021_R007_C025,MH-001,Gondkhari,2021,7,25,21.179984,78.919468,MH-001_C3,train,cnn_test,1,0
14,MH-001_2021_R007_C026,MH-001,Gondkhari,2021,7,26,21.179984,78.919738,MH-001_C3,train,cnn_test,1,0
15,MH-001_2021_R007_C027,MH-001,Gondkhari,2021,7,27,21.179984,78.920007,MH-001_C4,train,cnn_test,0,0
16,MH-001_2021_R007_C028,MH-001,Gondkhari,2021,7,28,21.179984,78.920277,MH-001_C4,train,cnn_test,0,0
17,MH-001_2021_R007_C029,MH-001,Gondkhari,2021,7,29,21.179984,78.920546,MH-001_C4,train,cnn_test,2,1
18,MH-001_2021_R007_C030,MH-001,Gondkhari,2021,7,30,21.179984,78.920816,MH-001_C4,train,cnn_test,2,1
19,MH-001_2021_R007_C031,MH-001,Gondkhari,2021,7,31,21.179984,78.921085,MH-001_C4,train,cnn_test,2,1
20,MH-001_2021_R007_C032,MH-001,Gondkhari,2021,7,32,21.179984,78.921355,MH-001_C4,train,cnn_test,2,1
21,MH-001_2021_R007_C033,MH-001,Gondkhari,2021,7,33,21.179984,78.921624,MH-001_C5,train,cnn_test,1,0
22,MH-001_2021_R007_C034,MH-001,Gondkhari,2021,7,34,21.179984,78.921894,MH-001_C5,train,cnn_test,1,0
23,MH-001_2021_R007_C035,MH-001,Gondkhari,2021,7,35,21.179984,78.922163,MH-001_C5,train,cnn_test,3,1
24,MH-001_2021_R007_C038,MH-001,Gondkhari,2021,7,38,21.179984,78.922972,MH-001_C5,train,cnn_test,0,0
25,MH-001_2021_R007_C039,MH-001,Gondkhari,2021,7,39,21.179984,78.923241,MH-001_C5,train,cnn_test,0,0
26,MH-001_2021_R007_C040,MH-001,Gondkhari,2021,7,40,21.179984,78.92351,MH-001_C6,train,cnn_test,1,0
27,MH-001_2021_R007_C041,MH-001,Gondkhari,2021,7,41,21.179984,78.92378,MH-001_C6,train,cnn_test,2,1
28,MH-001_2021_R007_C042,MH-001,Gondkhari,2021,7,42,21.179984,78.924049,MH-001_C6,train,cnn_test,2,1
29,MH-001_2021_R007_C043,MH-001,Gondkhari,2021,7,43,21.179984,78.924319,MH-001_C6,train,cnn_test,0,0
30,MH-001_2021_R007_C044,MH-001,Gondkhari,2021,7,44,21.179984,78.924588,MH-001_C6,train,cnn_test,0,0
31,MH-001_2021_R008_C007,MH-001,Gondkhari,2021,8,7,21.179714,78.914617,MH-001_C0,train,cnn_test,1,0
32,MH-001_2021_R008_C008,MH-001,Gondkhari,2021,8,8,21.179714,78.914887,MH-001_C1,train,cnn_test,1,0
33,MH-001_2021_R008_C009,MH-001,Gondkhari,2021,8,9,21.179714,78.915156,MH-001_C1,train,cnn_test,1,0
34,MH-001_2021_R008_C010,MH-001,Gondkhari,2021,8,10,21.179714,78.915426,MH-001_C1,train,cnn_test,1,0
35,MH-001_2021_R008_C011,MH-001,Gondkhari,2021,8,11,21.179714,78.915695,MH-001_C1,train,cnn_test,0,0
36,MH-001_2021_R008_C012,MH-001,Gondkhari,2021,8,12,21.179714,78.915965,MH-001_C1,train,cnn_test,0,0
37,MH-001_2021_R008_C013,MH-001,Gondkhari,2021,8,13,21.179714,78.916234,MH-001_C1,train,cnn_test,0,0
38,MH-001_2021_R008_C015,MH-001,Gondkhari,2021,8,15,21.179714,78.916773,MH-001_C2,train,cnn_test,1,0
39,MH-001_2021_R008_C016,MH-001,Gondkhari,2021,8,16,21.179714,78.917043,MH-001_C2,train,cnn_test,1,0
40,MH-001_2021_R008_C019,MH-001,Gondkhari,2021,8,19,21.179714,78.917851,MH-001_C2,train,cnn_test,2,1
41,MH-001_2021_R008_C020,MH-001,Gondkhari,2021,8,20,21.179714,78.918121,MH-001_C2,train,cnn_test,0,0
42,MH-001_2021_R008_C021,MH-001,Gondkhari,2021,8,21,21.179714,78.91839,MH-001_C3,train,cnn_test,2,1
43,MH-001_2021_R008_C022,MH-001,Gondkhari,2021,8,22,21.179714,78.91866,MH-001_C3,train,cnn_test,2,1
44,MH-001_2021_R008_C025,MH-001,Gondkhari,2021,8,25,21.179714,78.919468,MH-001_C3,train,cnn_test,2,1
45,MH-001_2021_R008_C026,MH-001,Gondkhari,2021,8,26,21.179714,78.919738,MH-001_C3,train,cnn_test,1,0
46,MH-001_2021_R008_C027,MH-001,Gondkhari,2021,8,27,21.179714,78.920007,MH-001_C4,train,cnn_test,1,0
47,MH-001_2021_R008_C028,MH-001,Gondkhari,2021,8,28,21.179714,78.920277,MH-001_C4,train,cnn_test,0,0
48,MH-001_2021_R008_C029,MH-001,Gondkhari,2021,8,29,21.179714,78.920546,MH-001_C4,train,cnn_test,2,1
49,MH-001_2021_R008_C030,MH-001,Gondkhari,2021,8,30,21.179714,78.920816,MH-001_C4,train,cnn_test,3,1
50,MH-001_2021_R008_C031,MH-001,Gondkhari,2021,8,31,21.179714,78.921085,MH-001_C4,train,cnn_test,2,1
51,MH-001_2021_R008_C032,MH-001,Gondkhari,2021,8,32,21.179714,78.921355,MH-001_C4,train,cnn_test,1,0
