project_id,latitude,longitude,utm_x,utm_y,cnn_split
MH-001,21.18187,78.919468,284000.4772940065,2343693.3639124767,cnn_test
MH-001,21.18187,78.919738,284028.51768974494,2343692.9958639885,cnn_test
MH-001,21.18187,78.920007,284056.4542286171,2343692.6292262324,cnn_test
MH-001,21.181601,78.918121,283860.1955818373,2343665.414550327,cnn_test
MH-001,21.181601,78.91839,283888.132192661,2343665.047630809,cnn_test
MH-001,21.181601,78.91866,283916.17265349044,2343664.679395045,cnn_test
MH-001,21.181601,78.918929,283944.10925720946,2343664.312570707,cnn_test
MH-001,21.181601,78.919199,283972.1497109099,2343663.944430477,cnn_test
MH-001,21.181601,78.919468,284000.0863075273,2343663.577701319,cnn_test
MH-001,21.181601,78.919738,284028.12675410084,2343663.2096566227,cnn_test
MH-001,21.181601,78.920007,284056.06334362,2343662.843022644,cnn_test
MH-001,21.181601,78.920277,284084.10378306825,2343662.4750734805,cnn_test
MH-001,21.181601,78.920546,284112.0403654881,2343662.108534682,cnn_test
MH-001,21.181601,78.920816,284140.0807978144,2343661.7406810527,cnn_test
MH-001,21.181331,78.916773,283719.8079691152,2343637.3569776425,cnn_test
MH-001,21.181331,78.917043,283747.8485023676,2343636.988459087,cnn_test
MH-001,21.181331,78.917582,283803.82570435235,2343636.2529299827,cnn_test
MH-001,21.181331,78.917851,283831.762373116,2343635.8859190797,cnn_test
MH-001,21.181331,78.918121,283859.80289209995,2343635.517591591,cnn_test
MH-001,21.181331,78.91839,283887.7395537583,2343635.150675867,cnn_test
MH-001,21.181331,78.91866,283915.78006561147,2343634.782443911,cnn_test
MH-001,21.181331,78.918929,283943.716720165,2343634.4156233664,cnn_test
MH-001,21.181331,78.919199,283971.7572248892,2343634.0474869427,cnn_test
MH-001,21.181331,78.919468,283999.6938723412,2343633.6807615776,cnn_test
MH-001,21.181331,78.919738,284027.73436993815,2343633.312720687,cnn_test
MH-001,21.181331,78.920007,284055.67101029167,2343632.9460905003,cnn_test
MH-001,21.181331,78.920277,284083.7115007634,2343632.5781451417,cnn_test
MH-001,21.181331,78.920546,284111.64813401777,2343632.2116101338,cnn_test
MH-001,21.181331,78.920816,284139.6886173674,2343631.8437603083,cnn_test
MH-001,21.181331,78.921085,284167.6252435256,2343631.4773204788,cnn_test
MH-001,21.181331,78.921355,284195.6657197523,2343631.1095661856,cnn_test
MH-001,21.181062,78.915426,283579.5250729568,2343609.40992434,cnn_test
MH-001,21.181062,78.915695,283607.4618208064,2343609.042536505,cnn_test
MH-001,21.181062,78.915965,283635.5024191664,2343608.673830681,cnn_test
MH-001,21.181062,78.916234,283663.4391599032,2343608.306538024,cnn_test
MH-001,21.181062,78.916504,283691.4797511249,2343607.9379277336,cnn_test
MH-001,21.181062,78.916773,283719.4164847496,2343607.5707302545,cnn_test
MH-001,21.181062,78.917043,283747.4570688362,2343607.2022154965,cnn_test
MH-001,21.181062,78.917312,283775.3937953504,2343606.835113196,cnn_test
MH-001,21.181062,78.917582,283803.4343723011,2343606.46669397,cnn_test
MH-001,21.181062,78.917851,283831.3710917107,2343606.099686849,cnn_test
MH-001,21.181062,78.918121,283859.4116615288,2343605.731363154,cnn_test
MH-001,21.181062,78.91839,283887.34837383305,2343605.364451211,cnn_test
MH-001,21.181062,78.91866,283915.3889365202,2343604.996223049,cnn_test
MH-001,21.181062,78.918929,283943.32564171957,2343604.6294062836,cnn_test
MH-001,21.181062,78.919199,283971.3661972778,2343604.2612736532,cnn_test
MH-001,21.181062,78.919468,283999.3028953753,2343603.8945520665,cnn_test
MH-001,21.181062,78.919738,284027.3434438063,2343603.526514968,cnn_test
MH-001,21.181062,78.920007,284055.28013480536,2343603.1598885586,cnn_test
MH-001,21.181062,78.920277,284083.3206761109,2343602.7919469913,cnn_test
MH-001,21.181062,78.920546,284111.25736001076,2343602.42541576,cnn_test
MH-001,21.181062,78.920816,284139.2978941942,2343602.057569724,cnn_test
MH-001,21.181062,78.921085,284167.2345709979,2343601.6911336696,cnn_test
MH-001,21.181062,78.921355,284195.2750980584,2343601.323383165,cnn_test
MH-001,21.181062,78.921624,284223.2117677675,2343600.9570422885,cnn_test
MH-001,21.181062,78.921894,284251.25228770834,2343600.589387316,cnn_test
MH-001,21.180792,78.914348,283467.1769445945,2343580.9856734383,cnn_test
MH-001,21.180792,78.914617,283495.11375750916,2343580.618099046,cnn_test
MH-001,21.180792,78.914887,283523.1544211729,2343580.249205972,cnn_test
MH-001,21.180792,78.915156,283551.0912269697,2343579.8817267576,cnn_test
MH-001,21.180792,78.915426,283579.13188349264,2343579.5129292156,cnn_test
MH-001,21.180792,78.915695,283607.06868217606,2343579.1455451786,cnn_test
MH-001,21.180792,78.915965,283635.1093315589,2343578.776843169,cnn_test
MH-001,21.180792,78.916234,283663.0461231296,2343578.409554309,cnn_test
MH-001,21.180792,78.916504,283691.08676537394,2343578.040947831,cnn_test
MH-001,21.180792,78.916773,283719.0235498323,2343577.67375415,cnn_test
MH-001,21.180792,78.917043,283747.0641849416,2343577.3052432025,cnn_test
MH-001,21.180792,78.917312,283775.00096228934,2343576.938144699,cnn_test
MH-001,21.180792,78.917582,283803.04159026267,2343576.5697292825,cnn_test
MH-001,21.180792,78.917851,283830.9783605059,2343576.2027259567,cnn_test
MH-001,21.180792,78.918121,283859.01898134645,2343575.834406072,cnn_test
MH-001,21.180792,78.91839,283886.9557444841,2343575.4674979225,cnn_test
MH-001,21.180792,78.91866,283914.9963581937,2343575.0992735685,cnn_test
MH-001,21.180792,78.918929,283942.93311422656,2343574.732460597,cnn_test
MH-001,21.180792,78.919199,283970.9737208069,2343574.364331774,cnn_test
MH-001,21.180792,78.919468,283998.91046973795,2343573.997613979,cnn_test
MH-001,21.180792,78.919738,284026.9510691911,2343573.6295806863,cnn_test
MH-001,21.180792,78.920007,284054.8878110235,2343573.2629580684,cnn_test
MH-001,21.180792,78.920277,284082.9284033512,2343572.8950203066,cnn_test
MH-001,21.180792,78.920546,284110.8651380843,2343572.528492865,cnn_test
MH-001,21.180792,78.920816,284138.9057232898,2343572.160650634,cnn_test
MH-001,21.180792,78.921085,284166.84245092655,2343571.7942183693,cnn_test
MH-001,21.180792,78.921355,284194.8830290091,2343571.4264716683,cnn_test
MH-001,21.180792,78.921624,284222.81974955136,2343571.0601345804,cnn_test
MH-001,21.180792,78.921894,284250.86032051407,2343570.6924834084,cnn_test
MH-001,21.180792,78.922163,284278.797033965,2343570.326241497,cnn_test
MH-001,21.180792,78.922433,284306.83759780973,2343569.9586858563,cnn_test
MH-001,21.180792,78.922702,284334.77430416865,2343569.59253912,cnn_test
MH-001,21.180523,78.913,283326.789078354,2343553.042061321,cnn_test
MH-001,21.180523,78.91327,283354.82981428993,2343552.6728854543,cnn_test
MH-001,21.180523,78.913539,283382.7666920882,2343552.3051244947,cnn_test
MH-001,21.180523,78.913809,283410.8074208764,2343551.93604416,cnn_test
MH-001,21.180523,78.914078,283438.74429155455,2343551.568378377,cnn_test
MH-001,21.180523,78.914348,283466.7850131969,2343551.1993935728,cnn_test
MH-001,21.180523,78.914617,283494.72187675664,2343550.831822968,cnn_test
MH-001,21.180523,78.914887,283522.76259125373,2343550.4629336945,cnn_test
MH-001,21.180523,78.915156,283550.6994476955,2343550.095458267,cnn_test
MH-001,21.180523,78.915426,283578.74015505187,2343549.7266645245,cnn_test
MH-001,21.180523,78.915695,283606.67700438015,2343549.359284273,cnn_test
MH-001,21.180523,78.915965,283634.71770459623,2343548.9905860615,cnn_test
MH-001,21.180523,78.916234,283662.6545468116,2343548.6233009878,cnn_test
MH-001,21.180523,78.916504,283690.69523988926,2343548.254698307,cnn_test
MH-001,21.180523,78.916773,283718.63207499235,2343547.887508409,cnn_test
MH-001,21.180523,78.917043,283746.6727609347,2343547.5190012585,cnn_test
MH-001,21.180523,78.917312,283774.60958892724,2343547.1519065374,cnn_test
MH-001,21.180523,78.917582,283802.65026773355,2343546.783494917,cnn_test
MH-001,21.180523,78.917851,283830.5870886214,2343546.4164953725,cnn_test
MH-001,21.180523,78.918121,283858.6277602948,2343546.0481792823,cnn_test
MH-001,21.180523,78.91839,283886.56457407714,2343545.681274914,cnn_test
MH-001,21.180523,78.91866,283914.6052386195,2343545.313054354,cnn_test
MH-001,21.180523,78.918929,283942.54204529687,2343544.9462451614,cnn_test
MH-001,21.180523,78.919199,283970.58270271006,2343544.5781201315,cnn_test
MH-001,21.180523,78.919468,283998.5195022854,2343544.2114061154,cnn_test
MH-001,21.180523,78.919738,284026.56015257136,2343543.843376615,cnn_test
MH-001,21.180523,78.920007,284054.4969450481,2343543.476757774,cnn_test
MH-001,21.180523,78.920277,284082.5375882085,2343543.1088238033,cnn_test
MH-001,21.180523,78.920546,284110.4743735857,2343542.742300139,cnn_test
MH-001,21.180523,78.920816,284138.5150096238,2343542.374461697,cnn_test
MH-001,21.180523,78.921085,284166.4517879047,2343542.008033208,cnn_test
MH-001,21.180523,78.921355,284194.4924168198,2343541.640290296,cnn_test
MH-001,21.180523,78.921624,284222.4291880062,2343541.2739569824,cnn_test
MH-001,21.180523,78.921894,284250.4698098013,2343540.9063095995,cnn_test
MH-001,21.180523,78.922163,284278.4065738964,2343540.5400714604,cnn_test
MH-001,21.180523,78.922433,284306.4471885733,2343540.172519607,cnn_test
MH-001,21.180523,78.922702,284334.3839455764,2343539.806376644,cnn_test
MH-001,21.180523,78.922972,284362.42455313716,2343539.438920319,cnn_test
MH-001,21.180523,78.923241,284390.3613030525,2343539.07287253,cnn_test
MH-001,21.180253,78.913,283326.3954400172,2343523.1450335598,cnn_test
MH-001,21.180253,78.91327,283354.43622697506,2343522.775861511,cnn_test
MH-001,21.180253,78.914348,283466.39162959147,2343521.3023848687,cnn_test
MH-001,21.180253,78.914617,283494.32854398387,2343520.934818065,cnn_test
MH-001,21.180253,78.914887,283522.36930950265,2343520.5659326073,cnn_test
MH-001,21.180253,78.915156,283550.3062167772,2343520.198460979,cnn_test
MH-001,21.180253,78.915426,283578.34697515506,2343519.829671051,cnn_test
MH-001,21.180253,78.915695,283606.2838753161,2343519.462294599,cnn_test
MH-001,21.180253,78.915965,283634.32462655357,2343519.0936002005,cnn_test
MH-001,21.180253,78.916234,283662.2615196017,2343518.7263189247,cnn_test
MH-001,21.180253,78.916504,283690.30226370075,2343518.357720056,cnn_test
MH-001,21.180253,78.916773,283718.23914963624,2343517.990533956,cnn_test
MH-001,21.180253,78.917043,283746.27988660004,2343517.6220306163,cnn_test
MH-001,21.180253,78.917312,283774.21676542494,2343517.254939692,cnn_test
MH-001,21.180253,78.917582,283802.25749525265,2343516.8865318815,cnn_test
MH-001,21.180253,78.917851,283830.1943669728,2343516.5195361325,cnn_test
MH-001,21.180253,78.918121,283858.23508966743,2343516.1512238514,cnn_test
MH-001,21.180253,78.91839,283886.171954282,2343515.7843232774,cnn_test
MH-001,21.180253,78.91866,283914.21266984567,2343515.4161065253,cnn_test
MH-001,21.180253,78.918929,283942.14952735504,2343515.049301127,cnn_test
MH-001,21.180253,78.919199,283970.19023578917,2343514.681179904,cnn_test
MH-001,21.180253,78.919468,283998.1270861968,2343514.31446968,cnn_test
MH-001,21.180253,78.919738,284026.1677875037,2343513.9464439857,cnn_test
