temporal_sample_id,project_id,center_latitude,center_longitude,center_row,center_col,cnn_spatial_split,target,prediction_probability,prediction_class,inference_threshold,temporal_year_start,temporal_year_end,project_name,hotspot_cluster,hotspot_id
MH-001_21.179984_78.914887,MH-001,21.179984,78.914887,7,8,cnn_test,0,0.1254665106534958,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.915156,MH-001,21.179984,78.915156,7,9,cnn_test,0,0.1478285789489746,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.915426,MH-001,21.179984,78.915426,7,10,cnn_test,0,0.17837932705879211,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.918929,MH-001,21.179984,78.918929,7,23,cnn_test,0,0.18713612854480743,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.919199,MH-001,21.179984,78.919199,7,24,cnn_test,0,0.1773800551891327,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.919738,MH-001,21.179984,78.919738,7,26,cnn_test,0,0.19868499040603638,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.920007,MH-001,21.179984,78.920007,7,27,cnn_test,0,0.17807050049304962,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.920277,MH-001,21.179984,78.920277,7,28,cnn_test,0,0.15213605761528015,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.920546,MH-001,21.179984,78.920546,7,29,cnn_test,1,0.128682941198349,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.920816,MH-001,21.179984,78.920816,7,30,cnn_test,1,0.13897380232810974,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.921085,MH-001,21.179984,78.921085,7,31,cnn_test,1,0.1624608039855957,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.921355,MH-001,21.179984,78.921355,7,32,cnn_test,1,0.1832250952720642,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.921624,MH-001,21.179984,78.921624,7,33,cnn_test,0,0.2252741903066635,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.921894,MH-001,21.179984,78.921894,7,34,cnn_test,0,0.20156051218509674,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.92378,MH-001,21.179984,78.92378,7,41,cnn_test,1,0.1963251680135727,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.924319,MH-001,21.179984,78.924319,7,43,cnn_test,0,0.20191097259521484,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179984_78.924588,MH-001,21.179984,78.924588,7,44,cnn_test,0,0.18808665871620178,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.914887,MH-001,21.179714,78.914887,8,8,cnn_test,0,0.21701812744140625,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.915156,MH-001,21.179714,78.915156,8,9,cnn_test,0,0.19183890521526337,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.915695,MH-001,21.179714,78.915695,8,11,cnn_test,0,0.1678614318370819,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.919468,MH-001,21.179714,78.919468,8,25,cnn_test,1,0.14384326338768005,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.920007,MH-001,21.179714,78.920007,8,27,cnn_test,0,0.14342549443244934,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.920277,MH-001,21.179714,78.920277,8,28,cnn_test,0,0.14985254406929016,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.920546,MH-001,21.179714,78.920546,8,29,cnn_test,1,0.1533523052930832,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.920816,MH-001,21.179714,78.920816,8,30,cnn_test,1,0.18216638267040253,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.921085,MH-001,21.179714,78.921085,8,31,cnn_test,1,0.17453649640083313,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.921355,MH-001,21.179714,78.921355,8,32,cnn_test,0,0.17643140256404877,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.921624,MH-001,21.179714,78.921624,8,33,cnn_test,1,0.16986805200576782,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.921894,MH-001,21.179714,78.921894,8,34,cnn_test,1,0.16267085075378418,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.92351,MH-001,21.179714,78.92351,8,40,cnn_test,0,0.15173953771591187,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.924049,MH-001,21.179714,78.924049,8,42,cnn_test,0,0.13128073513507843,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.924319,MH-001,21.179714,78.924319,8,43,cnn_test,0,0.12585550546646118,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179714_78.924588,MH-001,21.179714,78.924588,8,44,cnn_test,1,0.17211301624774933,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.914887,MH-001,21.179445,78.914887,9,8,cnn_test,0,0.1734812706708908,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.915156,MH-001,21.179445,78.915156,9,9,cnn_test,0,0.1733647882938385,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.915426,MH-001,21.179445,78.915426,9,10,cnn_test,0,0.16819779574871063,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.915695,MH-001,21.179445,78.915695,9,11,cnn_test,0,0.16476212441921234,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.915965,MH-001,21.179445,78.915965,9,12,cnn_test,0,0.16766217350959778,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.920007,MH-001,21.179445,78.920007,9,27,cnn_test,1,0.18661731481552124,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.920277,MH-001,21.179445,78.920277,9,28,cnn_test,0,0.1870841234922409,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.920546,MH-001,21.179445,78.920546,9,29,cnn_test,1,0.18571066856384277,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.920816,MH-001,21.179445,78.920816,9,30,cnn_test,1,0.16156230866909027,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.921085,MH-001,21.179445,78.921085,9,31,cnn_test,1,0.16485993564128876,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.921355,MH-001,21.179445,78.921355,9,32,cnn_test,1,0.16680221259593964,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.921624,MH-001,21.179445,78.921624,9,33,cnn_test,1,0.1631450653076172,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.921894,MH-001,21.179445,78.921894,9,34,cnn_test,1,0.1544194221496582,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.922163,MH-001,21.179445,78.922163,9,35,cnn_test,1,0.15558120608329773,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.924049,MH-001,21.179445,78.924049,9,42,cnn_test,0,0.15000325441360474,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.925127,MH-001,21.179445,78.925127,9,46,cnn_test,1,0.11713891476392746,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.925397,MH-001,21.179445,78.925397,9,47,cnn_test,0,0.10803467035293579,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.925666,MH-001,21.179445,78.925666,9,48,cnn_test,0,0.10337856411933899,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179445_78.925936,MH-001,21.179445,78.925936,9,49,cnn_test,0,0.14903698861598969,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179175_78.914887,MH-001,21.179175,78.914887,10,8,cnn_test,0,0.17184123396873474,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179175_78.915156,MH-001,21.179175,78.915156,10,9,cnn_test,0,0.17860069870948792,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179175_78.915695,MH-001,21.179175,78.915695,10,11,cnn_test,0,0.16762609779834747,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179175_78.915965,MH-001,21.179175,78.915965,10,12,cnn_test,0,0.1532948911190033,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179175_78.916504,MH-001,21.179175,78.916504,10,14,cnn_test,0,0.1513461023569107,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179175_78.916773,MH-001,21.179175,78.916773,10,15,cnn_test,0,0.14967088401317596,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179175_78.917043,MH-001,21.179175,78.917043,10,16,cnn_test,0,0.2113879919052124,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179175_78.917312,MH-001,21.179175,78.917312,10,17,cnn_test,0,0.18816344439983368,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
MH-001_21.179175_78.920277,MH-001,21.179175,78.920277,10,28,cnn_test,0,0.18270857632160187,1,0.1,2021,2025,MH-001,0,MH-001-HS-0000
