hotspot_id,project_id,number_of_patches,mean_probability,max_probability,min_probability,centroid_latitude,centroid_longitude,candidate_priority_score
MH-001-HS-0036,MH-001,711,0.1779,0.3777,0.1,21.147499,78.921803,2.4808
MH-001-HS-0061,MH-001,154,0.2328,0.4636,0.1274,21.138469,78.924706,2.3383
MH-001-HS-0000,MH-001,493,0.166,0.3321,0.1005,21.176833,78.920888,2.0601
MH-001-HS-0059,MH-001,37,0.214,0.4306,0.1566,21.140382,78.931726,1.5663
MH-001-HS-0011,MH-001,106,0.1829,0.3034,0.1028,21.164506,78.917198,1.4178
MH-001-HS-0031,MH-001,113,0.1757,0.2972,0.1034,21.150134,78.937899,1.4075
MH-001-HS-0057,MH-001,91,0.2001,0.3083,0.1054,21.142909,78.931545,1.3942
MH-001-HS-0065,MH-001,44,0.2147,0.364,0.1448,21.137355,78.932343,1.3857
MH-001-HS-0025,MH-001,39,0.2341,0.3452,0.1132,21.161942,78.917271,1.2735
MH-001-HS-0066,MH-001,49,0.2201,0.3252,0.1521,21.13648,78.937717,1.272
MH-001-HS-0043,MH-001,69,0.1668,0.2523,0.1036,21.147668,78.931466,1.072
MH-001-HS-0068,MH-001,24,0.208,0.3263,0.1629,21.135899,78.926183,1.0502
MH-001-HS-0064,MH-001,26,0.2236,0.3172,0.1662,21.137694,78.930766,1.0453
MH-001-HS-0040,MH-001,33,0.1776,0.2865,0.1178,21.151638,78.930681,1.0104
MH-001-HS-0032,MH-001,21,0.1929,0.3128,0.1016,21.152842,78.925795,0.9669
MH-001-HS-0014,MH-001,33,0.1871,0.2563,0.1001,21.164394,78.92534,0.9037
MH-001-HS-0027,MH-001,17,0.239,0.3093,0.1507,21.161928,78.932784,0.8939
MH-001-HS-0005,MH-001,15,0.1881,0.3175,0.1192,21.177163,78.919558,0.8802
MH-001-HS-0012,MH-001,27,0.1975,0.2641,0.1039,21.164982,78.921594,0.8802
MH-001-HS-0017,MH-001,26,0.1867,0.2566,0.1023,21.163503,78.930517,0.8456
MH-001-HS-0021,MH-001,13,0.2034,0.2722,0.1489,21.163483,78.932196,0.7182
MH-001-HS-0072,MH-001,23,0.1935,0.2238,0.1603,21.134978,78.931455,0.7113
MH-001-HS-0035,MH-001,21,0.1734,0.2232,0.1093,21.152187,78.932956,0.69
MH-001-HS-0051,MH-001,12,0.2325,0.2545,0.1991,21.145668,78.930652,0.6528
MH-001-HS-0071,MH-001,6,0.2547,0.314,0.168,21.135068,78.924947,0.611
MH-001-HS-0039,MH-001,14,0.1277,0.2172,0.1002,21.152072,78.923857,0.5882
MH-001-HS-0070,MH-001,7,0.2125,0.2736,0.1857,21.135286,78.933328,0.569
MH-001-HS-0055,MH-001,13,0.1679,0.2095,0.1305,21.144431,78.925127,0.5529
MH-001-HS-0038,MH-001,4,0.2633,0.2984,0.204,21.153034,78.923106,0.4802
MH-001-HS-0002,MH-001,9,0.1892,0.2034,0.1756,21.179535,78.91839,0.4682
MH-001-HS-0013,MH-001,7,0.173,0.2239,0.1145,21.165008,78.923818,0.4656
MH-001-HS-0003,MH-001,7,0.1757,0.2157,0.121,21.177982,78.920469,0.4485
MH-001-HS-0004,MH-001,3,0.2537,0.2816,0.2146,21.178097,78.926475,0.3904
MH-001-HS-0020,MH-001,4,0.2232,0.2384,0.2055,21.163814,78.922837,0.3836
MH-001-HS-0046,MH-001,5,0.2042,0.2139,0.1808,21.146297,78.922702,0.3832
MH-001-HS-0054,MH-001,3,0.2048,0.2393,0.1779,21.145219,78.933392,0.3317
MH-001-HS-0044,MH-001,5,0.1611,0.1824,0.1163,21.148129,78.926367,0.3267
MH-001-HS-0030,MH-001,3,0.22,0.2345,0.2029,21.154382,78.938063,0.325
MH-001-HS-0053,MH-001,3,0.2155,0.2267,0.2095,21.145398,78.931865,0.3143
MH-001-HS-0015,MH-001,4,0.189,0.1942,0.1835,21.165364,78.931056,0.3126
MH-001-HS-0029,MH-001,5,0.137,0.1604,0.1011,21.161766,78.926259,0.2874
MH-001-HS-0052,MH-001,2,0.234,0.2458,0.2222,21.145623,78.932538,0.27
MH-001-HS-0056,MH-001,3,0.1825,0.1895,0.1754,21.1445,78.926385,0.2628
MH-001-HS-0067,MH-001,3,0.1685,0.1872,0.1495,21.137404,78.933482,0.2595
MH-001-HS-0023,MH-001,2,0.2354,0.2361,0.2347,21.163275,78.92634,0.2593
MH-001-HS-0034,MH-001,2,0.2145,0.2196,0.2094,21.153304,78.931461,0.2412
MH-001-HS-0041,MH-001,2,0.1892,0.212,0.1665,21.152226,78.921759,0.2329
MH-001-HS-0016,MH-001,2,0.1554,0.191,0.1199,21.165026,78.926475,0.2098
MH-001-HS-0028,MH-001,2,0.1682,0.1882,0.1481,21.162062,78.923914,0.2068
MH-001-HS-0062,MH-001,1,0.2959,0.2959,0.2959,21.13956,78.937255,0.2051
MH-001-HS-0024,MH-001,1,0.295,0.295,0.295,21.163006,78.915965,0.2045
MH-001-HS-0026,MH-001,3,0.1287,0.1455,0.1081,21.162197,78.931146,0.2017
MH-001-HS-0007,MH-001,2,0.1741,0.181,0.1671,21.176211,78.92122,0.1989
MH-001-HS-0009,MH-001,2,0.1549,0.1663,0.1435,21.175402,78.91556,0.1827
MH-001-HS-0033,MH-001,1,0.2461,0.2461,0.2461,21.153304,78.930248,0.1706
MH-001-HS-0047,MH-001,1,0.2432,0.2432,0.2432,21.146566,78.932943,0.1686
MH-001-HS-0048,MH-001,1,0.2425,0.2425,0.2425,21.146566,78.933482,0.1681
MH-001-HS-0022,MH-001,1,0.2389,0.2389,0.2389,21.163275,78.924588,0.1656
MH-001-HS-0050,MH-001,1,0.2362,0.2362,0.2362,21.146297,78.938602,0.1637
MH-001-HS-0049,MH-001,1,0.2353,0.2353,0.2353,21.146297,78.932404,0.1631
MH-001-HS-0006,MH-001,1,0.2246,0.2246,0.2246,21.177289,78.916773,0.1557
MH-001-HS-0019,MH-001,1,0.2206,0.2206,0.2206,21.164353,78.932134,0.1529
MH-001-HS-0063,MH-001,1,0.2083,0.2083,0.2083,21.13929,78.930248,0.1444
