temporal_sample_id,project_id,target,s_delta,Delta_Pred,Error_Type
MH-001_21.179984_78.914887,MH-001,0,0.005902224,0,TN
MH-001_21.179984_78.915156,MH-001,0,0.0051389257,0,TN
MH-001_21.179984_78.915426,MH-001,0,0.001319634,0,TN
MH-001_21.179984_78.916234,MH-001,0,0.0006835281,0,TN
MH-001_21.179984_78.918121,MH-001,1,0.44781917,1,TP
MH-001_21.179984_78.91839,MH-001,0,0.5300144,1,FP
MH-001_21.179984_78.918929,MH-001,0,0.6147128,1,FP
MH-001_21.179984_78.919199,MH-001,0,0.71101445,1,FP
MH-001_21.179984_78.919738,MH-001,0,0.8611365,1,FP
MH-001_21.179984_78.920007,MH-001,0,0.8864317,1,FP
MH-001_21.179984_78.920277,MH-001,0,0.8313634,1,FP
MH-001_21.179984_78.920546,MH-001,1,0.7797578,1,TP
MH-001_21.179984_78.920816,MH-001,1,0.74348086,1,TP
MH-001_21.179984_78.921085,MH-001,1,0.647148,1,TP
MH-001_21.179984_78.921355,MH-001,1,0.60479575,1,TP
MH-001_21.179984_78.921624,MH-001,0,0.67195445,1,FP
MH-001_21.179984_78.921894,MH-001,0,0.6444331,1,FP
MH-001_21.179984_78.92378,MH-001,1,0.7654239,1,TP
MH-001_21.179984_78.924319,MH-001,0,0.8564979,1,FP
MH-001_21.179984_78.924588,MH-001,0,0.86048454,1,FP
MH-001_21.179714_78.914887,MH-001,0,0.0147505235,0,TN
MH-001_21.179714_78.915156,MH-001,0,0.007915862,0,TN
MH-001_21.179714_78.915695,MH-001,0,0.0016055782,0,TN
MH-001_21.179714_78.917851,MH-001,1,0.43966797,1,TP
MH-001_21.179714_78.918121,MH-001,0,0.70033103,1,FP
MH-001_21.179714_78.91839,MH-001,1,0.789261,1,TP
MH-001_21.179714_78.919468,MH-001,1,0.9293459,1,TP
MH-001_21.179714_78.920007,MH-001,0,0.964995,1,FP
MH-001_21.179714_78.920277,MH-001,0,0.9592798,1,FP
MH-001_21.179714_78.920546,MH-001,1,0.90967816,1,TP
MH-001_21.179714_78.920816,MH-001,1,0.86223584,1,TP
MH-001_21.179714_78.921085,MH-001,1,0.7211669,1,TP
MH-001_21.179714_78.921355,MH-001,0,0.79157466,1,FP
MH-001_21.179714_78.921624,MH-001,1,0.7674991,1,TP
MH-001_21.179714_78.921894,MH-001,1,0.7490511,1,TP
MH-001_21.179714_78.92351,MH-001,0,0.70096046,1,FP
MH-001_21.179714_78.924049,MH-001,0,0.65333986,1,FP
MH-001_21.179714_78.924319,MH-001,0,0.75344473,1,FP
