Model,Metric,Value
Raw Temporal CNN,N,1226.0
Raw Temporal CNN,positives,188.0
Raw Temporal CNN,PR_AUC,0.14528368898383726
Raw Temporal CNN,ROC_AUC,0.4890183659246505
Raw Temporal CNN,F1,0.08917197452229299
Raw Temporal CNN,Precision,0.1111111111111111
Raw Temporal CNN,Recall,0.07446808510638298
Raw Temporal CNN,Balanced_Accuracy,0.48328413889230515
Raw Temporal CNN,Accuracy,0.766721044045677
Raw Temporal CNN,TN,926.0
Raw Temporal CNN,FP,112.0
Raw Temporal CNN,FN,174.0
Raw Temporal CNN,TP,14.0
Delta Temporal CNN,N,1226.0
Delta Temporal CNN,positives,188.0
Delta Temporal CNN,PR_AUC,0.3790722515417992
Delta Temporal CNN,ROC_AUC,0.725802484319272
Delta Temporal CNN,F1,0.3231638418079096
Delta Temporal CNN,Precision,0.20516499282639886
Delta Temporal CNN,Recall,0.7606382978723404
Delta Temporal CNN,Balanced_Accuracy,0.6134598040421433
Delta Temporal CNN,Accuracy,0.5114192495921697
Delta Temporal CNN,TN,484.0
Delta Temporal CNN,FP,554.0
Delta Temporal CNN,FN,45.0
Delta Temporal CNN,TP,143.0
Spatial-Only Control,N,1226.0
Spatial-Only Control,positives,188.0
Spatial-Only Control,PR_AUC,0.24289320201286418
Spatial-Only Control,ROC_AUC,0.6173646127987538
Spatial-Only Control,F1,0.2727957799547852
Spatial-Only Control,Precision,0.15891132572431957
Spatial-Only Control,Recall,0.9627659574468085
Spatial-Only Control,Balanced_Accuracy,0.5199186241954659
Spatial-Only Control,Accuracy,0.2128874388254486
Spatial-Only Control,TN,80.0
Spatial-Only Control,FP,958.0
Spatial-Only Control,FN,7.0
Spatial-Only Control,TP,181.0
