project_id,center_latitude,center_longitude,years_available,years_missing,n_years_available,target,exclusion_reason
MH-001,21.179175,78.919738,"[2021, 2023, 2024, 2025]",[2022],4,1,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-002,19.602901,80.377434,[2024],"[2021, 2022, 2023, 2025]",1,0,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-001,21.179445,78.922433,"[2022, 2023, 2024, 2025]",[2021],4,1,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-001,21.177558,78.926205,"[2022, 2023, 2024, 2025]",[2021],4,0,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-003,18.911917,73.502896,"[2022, 2024, 2025]","[2021, 2023]",3,0,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-001,21.178367,78.925397,"[2021, 2022, 2023, 2025]",[2024],4,1,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-001,21.179714,78.924858,"[2021, 2022, 2023]","[2024, 2025]",3,0,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-001,21.177289,78.91866,"[2021, 2022, 2024, 2025]",[2023],4,0,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-001,21.179984,78.916773,"[2022, 2023, 2024]","[2021, 2025]",3,0,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-001,21.17648,78.921085,"[2021, 2022, 2023, 2025]",[2024],4,0,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-001,21.177828,78.91866,"[2021, 2024, 2025]","[2022, 2023]",3,0,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-001,21.179175,78.918121,"[2021, 2024]","[2022, 2023, 2025]",2,1,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-003,18.914612,73.497507,"[2021, 2022, 2023, 2025]",[2024],4,0,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-001,21.178636,78.92378,"[2021, 2022, 2023, 2024]",[2025],4,1,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-001,21.177828,78.92351,"[2021, 2022, 2023, 2025]",[2024],4,0,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-002,19.604518,80.377973,[2024],"[2021, 2022, 2023, 2025]",1,0,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
MH-001,21.175402,78.922972,"[2021, 2022, 2023, 2025]",[2024],4,0,Incomplete 5-year temporal sequence (missing >= 1 non-monsoon year in frozen rasters)
