experiment,held_out_project,band,train_mean,train_std,heldout_mean,heldout_std,mean_shift
A,MH-001,B2,-0.0001690602657618001,0.007324656005948782,0.0007674545631743968,0.0076699755154550076,0.0009365148143842816
A,MH-001,B3,-0.001236136071383953,0.009001663886010647,0.0010167091386392713,0.00916788075119257,0.0022528450936079025
A,MH-001,B4,-0.00023630729992873967,0.014495358802378178,0.0018365872092545033,0.01452610082924366,0.0020728944800794125
A,MH-001,B8,-0.0014289346290752292,0.01612469181418419,0.004241699352860451,0.01926730014383793,0.005670634098351002
A,MH-001,B11,-0.003484671702608466,0.02687685750424862,0.0028881330508738756,0.02076403610408306,0.006372804753482342
A,MH-001,B12,-0.00238770036958158,0.02442179061472416,0.0024087659548968077,0.017608150839805603,0.004796466324478388
B,MH-002,B2,0.0011075269430875778,0.007945641875267029,-0.0003931598039343953,0.0072187199257314205,-0.0015006867470219731
B,MH-002,B3,0.001425397233106196,0.00976918637752533,-0.0016381734749302268,0.008635410107672215,-0.0030635707080364227
B,MH-002,B4,0.002707140753045678,0.0162151250988245,-0.0009470329387113452,0.013590104877948761,-0.0036541735753417015
B,MH-002,B8,0.003407857846468687,0.019119948148727417,-0.0014400234213098884,0.015575123950839043,-0.004847881384193897
B,MH-002,B11,0.002296997467055917,0.02453569695353508,-0.0038592172786593437,0.02599979192018509,-0.006156214512884617
B,MH-002,B12,0.0023669973015785217,0.020710539072752,-0.0029922493267804384,0.02398562803864479,-0.0053592463955283165
C,MH-003,B2,-6.989384564803913e-05,0.007360581774264574,0.0016290193889290094,0.008303536102175713,0.0016989132855087519
C,MH-003,B3,-0.0008808282436802983,0.008872665464878082,0.0019391549285501242,0.011114888824522495,0.0028199832886457443
C,MH-003,B4,-0.0001433881843695417,0.013976210728287697,0.0044261384755373,0.020181164145469666,0.004569526761770248
C,MH-003,B8,0.00018967397045344114,0.01697915606200695,0.0003561889461707324,0.017271939665079117,0.00016651497571729124
C,MH-003,B11,-0.0019567941781133413,0.02482745610177517,-0.0007961244555190206,0.033695317804813385,0.0011606697225943208
C,MH-003,B12,-0.001455171499401331,0.022462937980890274,0.001077071181498468,0.028406357392668724,0.0025322427973151207
