experiment,held_out_project,temporal_sample_id,target,cnn_score,error_type
A,MH-001,MH-001_21.154651_78.938063,0,0.19701701402664185,TN
A,MH-001,MH-001_21.154382_78.938063,0,0.44298529624938965,TN
A,MH-001,MH-001_21.154112_78.938063,0,0.5003681182861328,FP
A,MH-001,MH-001_21.153573_78.937794,0,0.23913955688476562,TN
A,MH-001,MH-001_21.153573_78.938063,0,0.18142536282539368,TN
A,MH-001,MH-001_21.153573_78.938333,0,0.16916432976722717,TN
A,MH-001,MH-001_21.153304_78.925127,0,0.03670291602611542,TN
A,MH-001,MH-001_21.153304_78.925397,0,0.056526921689510345,TN
A,MH-001,MH-001_21.153304_78.926205,0,0.41950228810310364,TN
A,MH-001,MH-001_21.153304_78.926475,1,0.43785399198532104,FN
A,MH-001,MH-001_21.153304_78.930248,0,0.03457414358854294,TN
A,MH-001,MH-001_21.153304_78.931326,0,0.019755501300096512,TN
A,MH-001,MH-001_21.153304_78.931595,0,0.013549836352467537,TN
A,MH-001,MH-001_21.153304_78.932673,0,0.015408230945467949,TN
A,MH-001,MH-001_21.153304_78.932943,0,0.018952596932649612,TN
A,MH-001,MH-001_21.153304_78.933212,0,0.03022690676152706,TN
A,MH-001,MH-001_21.153304_78.937524,0,0.14203909039497375,TN
A,MH-001,MH-001_21.153304_78.937794,0,0.10377349704504013,TN
A,MH-001,MH-001_21.153304_78.938063,0,0.10882821679115295,TN
A,MH-001,MH-001_21.153304_78.938333,0,0.10966742783784866,TN
A,MH-001,MH-001_21.153034_78.919738,0,0.061373259872198105,TN
A,MH-001,MH-001_21.153034_78.920007,0,0.0601494237780571,TN
A,MH-001,MH-001_21.153034_78.920277,0,0.07669943571090698,TN
A,MH-001,MH-001_21.153034_78.920546,0,0.08177251368761063,TN
A,MH-001,MH-001_21.153034_78.920816,0,0.06730945408344269,TN
A,MH-001,MH-001_21.153034_78.921355,0,0.058988869190216064,TN
A,MH-001,MH-001_21.153034_78.922702,0,0.027153953909873962,TN
A,MH-001,MH-001_21.153034_78.922972,0,0.027873260900378227,TN
A,MH-001,MH-001_21.153034_78.923241,0,0.02981458231806755,TN
A,MH-001,MH-001_21.153034_78.92351,0,0.034120235592126846,TN
A,MH-001,MH-001_21.153034_78.925397,0,0.0725506991147995,TN
A,MH-001,MH-001_21.153034_78.925666,0,0.1673794537782669,TN
A,MH-001,MH-001_21.153034_78.925936,0,0.30443841218948364,TN
A,MH-001,MH-001_21.153034_78.926205,1,0.49978360533714294,FN
A,MH-001,MH-001_21.153034_78.926475,1,0.4981498420238495,FN
A,MH-001,MH-001_21.153034_78.930248,0,0.026426121592521667,TN
A,MH-001,MH-001_21.153034_78.931595,0,0.017350101843476295,TN
A,MH-001,MH-001_21.153034_78.931865,0,0.017557289451360703,TN
A,MH-001,MH-001_21.153034_78.932943,0,0.017188047990202904,TN
A,MH-001,MH-001_21.153034_78.937255,0,0.07661085575819016,TN
A,MH-001,MH-001_21.153034_78.937524,0,0.07162079215049744,TN
A,MH-001,MH-001_21.153034_78.937794,0,0.05188422650098801,TN
A,MH-001,MH-001_21.153034_78.938063,0,0.05317177623510361,TN
A,MH-001,MH-001_21.153034_78.938333,0,0.06294175237417221,TN
A,MH-001,MH-001_21.152765_78.920007,0,0.052939821034669876,TN
A,MH-001,MH-001_21.152765_78.920277,0,0.043282654136419296,TN
A,MH-001,MH-001_21.152765_78.920546,0,0.03801368176937103,TN
A,MH-001,MH-001_21.152765_78.920816,0,0.038376327604055405,TN
A,MH-001,MH-001_21.152765_78.924319,0,0.06076866760849953,TN
A,MH-001,MH-001_21.152765_78.925127,0,0.03709019720554352,TN
A,MH-001,MH-001_21.152765_78.925397,0,0.04726061969995499,TN
A,MH-001,MH-001_21.152765_78.925666,0,0.0991317629814148,TN
A,MH-001,MH-001_21.152765_78.925936,0,0.2008383423089981,TN
A,MH-001,MH-001_21.152765_78.926205,0,0.41738227009773254,TN
A,MH-001,MH-001_21.152765_78.926475,1,0.39385583996772766,FN
A,MH-001,MH-001_21.152765_78.930248,0,0.0307723730802536,TN
A,MH-001,MH-001_21.152765_78.930517,0,0.02376273274421692,TN
A,MH-001,MH-001_21.152765_78.930787,0,0.029156215488910675,TN
A,MH-001,MH-001_21.152765_78.932673,0,0.03001299500465393,TN
A,MH-001,MH-001_21.152765_78.933212,1,0.03840213641524315,FN
A,MH-001,MH-001_21.152765_78.937255,0,0.06536025553941727,TN
A,MH-001,MH-001_21.152765_78.937524,0,0.053214192390441895,TN
A,MH-001,MH-001_21.152765_78.937794,0,0.036782536655664444,TN
A,MH-001,MH-001_21.152765_78.938063,0,0.04163820669054985,TN
A,MH-001,MH-001_21.152765_78.938333,0,0.032927315682172775,TN
A,MH-001,MH-001_21.152495_78.919738,0,0.12144836783409119,TN
A,MH-001,MH-001_21.152495_78.920007,0,0.07101832330226898,TN
A,MH-001,MH-001_21.152495_78.920277,0,0.06111492961645126,TN
A,MH-001,MH-001_21.152495_78.920546,0,0.03633657842874527,TN
A,MH-001,MH-001_21.152495_78.920816,0,0.03778356313705444,TN
A,MH-001,MH-001_21.152495_78.92351,0,0.03297879919409752,TN
A,MH-001,MH-001_21.152495_78.92378,0,0.051808759570121765,TN
