Check,Status,Value,Note
Feature 8.7-A dataset reconciliation,PASS,10752,
Feature 8.7-B metric reconstruction,PASS,Delta PR-AUC=0.3791,
Feature 8.7.1/8.7.2 population verification,PASS,,
Feature 8.7-C population audit,PASS,,
Feature 8.7-C sample overlap (train∩test=0),PASS,,
Feature 8.7-C normalization leakage = 0,PASS,,
Feature 8.7-C threshold leakage = 0,PASS,,
Feature 8.7-C metric reconstruction,PASS,,
CNN beats XGBoost all 3 projects,PASS,3/3,
CNN beats Spatial 2/3 projects,PASS,2/3,
Test N from frozen NPZ = 1226,PASS,1226,
No artifact stores N=1602 as actual data,PASS,Verified -- spec text only,
579 incomplete centers correctly excluded,PASS,579,
1226 = complete 5-yr centers,PASS,1226,
Delta PR-AUC reconstructs to 0.3791,PASS,0.3791,
Control PR-AUC reconstructs to 0.2429,PASS,0.2429,
AP difference = +0.1362,PASS,0.1362,
