Check,Status,Value,Note
Exp A: train∩val=0,PASS,0,
Exp A: train∩test=0,PASS,0,
Exp A: val∩test=0,PASS,0,
Exp A: held-out∩train projects=0,PASS,0,
Exp A: all test IDs in F8.7-A,PASS,2424,
Exp A: test samples correct project,PASS,MH-001,
Exp A: test NaN = 0,PASS,0,
Exp A: test Inf = 0,PASS,0,
Exp A: target valid,PASS,,
Exp B: train∩val=0,PASS,0,
Exp B: train∩test=0,PASS,0,
Exp B: val∩test=0,PASS,0,
Exp B: held-out∩train projects=0,PASS,0,
Exp B: all test IDs in F8.7-A,PASS,7549,
Exp B: test samples correct project,PASS,MH-002,
Exp B: test NaN = 0,PASS,0,
Exp B: test Inf = 0,PASS,0,
Exp B: target valid,PASS,,
Exp C: train∩val=0,PASS,0,
Exp C: train∩test=0,PASS,0,
Exp C: val∩test=0,PASS,0,
Exp C: held-out∩train projects=0,PASS,0,
Exp C: all test IDs in F8.7-A,PASS,779,
Exp C: test samples correct project,PASS,MH-003,
Exp C: test NaN = 0,PASS,0,
Exp C: test Inf = 0,PASS,0,
Exp C: target valid,PASS,,
