temporal_sample_id,project_id,center_latitude,center_longitude,center_row,center_col,cnn_spatial_split,target
MH-001_21.179984_78.914887,MH-001,21.179984,78.914887,7,8,cnn_test,0
MH-001_21.179984_78.915156,MH-001,21.179984,78.915156,7,9,cnn_test,0
MH-001_21.179984_78.915426,MH-001,21.179984,78.915426,7,10,cnn_test,0
MH-001_21.179984_78.916234,MH-001,21.179984,78.916234,7,13,cnn_test,0
MH-001_21.179984_78.918121,MH-001,21.179984,78.918121,7,20,cnn_test,1
MH-001_21.179984_78.91839,MH-001,21.179984,78.91839,7,21,cnn_test,0
MH-001_21.179984_78.918929,MH-001,21.179984,78.918929,7,23,cnn_test,0
MH-001_21.179984_78.919199,MH-001,21.179984,78.919199,7,24,cnn_test,0
MH-001_21.179984_78.919738,MH-001,21.179984,78.919738,7,26,cnn_test,0
MH-001_21.179984_78.920007,MH-001,21.179984,78.920007,7,27,cnn_test,0
MH-001_21.179984_78.920277,MH-001,21.179984,78.920277,7,28,cnn_test,0
MH-001_21.179984_78.920546,MH-001,21.179984,78.920546,7,29,cnn_test,1
MH-001_21.179984_78.920816,MH-001,21.179984,78.920816,7,30,cnn_test,1
MH-001_21.179984_78.921085,MH-001,21.179984,78.921085,7,31,cnn_test,1
MH-001_21.179984_78.921355,MH-001,21.179984,78.921355,7,32,cnn_test,1
MH-001_21.179984_78.921624,MH-001,21.179984,78.921624,7,33,cnn_test,0
MH-001_21.179984_78.921894,MH-001,21.179984,78.921894,7,34,cnn_test,0
MH-001_21.179984_78.92378,MH-001,21.179984,78.92378,7,41,cnn_test,1
MH-001_21.179984_78.924319,MH-001,21.179984,78.924319,7,43,cnn_test,0
MH-001_21.179984_78.924588,MH-001,21.179984,78.924588,7,44,cnn_test,0
MH-001_21.179714_78.914887,MH-001,21.179714,78.914887,8,8,cnn_test,0
MH-001_21.179714_78.915156,MH-001,21.179714,78.915156,8,9,cnn_test,0
MH-001_21.179714_78.915695,MH-001,21.179714,78.915695,8,11,cnn_test,0
MH-001_21.179714_78.917851,MH-001,21.179714,78.917851,8,19,cnn_test,1
MH-001_21.179714_78.918121,MH-001,21.179714,78.918121,8,20,cnn_test,0
MH-001_21.179714_78.91839,MH-001,21.179714,78.91839,8,21,cnn_test,1
MH-001_21.179714_78.919468,MH-001,21.179714,78.919468,8,25,cnn_test,1
