project_id,project_name,year,dataset,requested_start_date,requested_end_date,monitoring_window,actual_available_start_date,actual_available_end_date,selected_observation_start_date,selected_observation_end_date,images_available,images_after_cloud_filter,images_used,cloud_threshold,composite_method,bands,boundary_file,processing_status,missing_period
MH-001,Gondkhari,2021,Dynamic World V1 (reference_baseline),2021-01-01,2021-12-31,Jan-May & Nov-Dec (Dry Season),2021-01-01,2021-12-29,2021-01-01,2021-12-27,128,128,128,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/gondkhari_boundary.geojson,completed,None
MH-001,Gondkhari,2022,Dynamic World V1 (reference_baseline),2022-01-01,2022-12-31,Jan-May & Nov-Dec (Dry Season),2022-01-01,2022-12-29,2022-01-01,2022-12-29,148,148,148,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/gondkhari_boundary.geojson,completed,None
MH-001,Gondkhari,2023,Dynamic World V1 (reference_baseline),2023-01-01,2023-12-31,Jan-May & Nov-Dec (Dry Season),2023-01-01,2023-12-29,2023-01-01,2023-12-27,140,140,140,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/gondkhari_boundary.geojson,completed,None
MH-001,Gondkhari,2024,Dynamic World V1 (reference_baseline),2024-01-01,2024-12-31,Jan-May & Nov-Dec (Dry Season),2024-01-01,2024-12-28,2024-01-01,2024-12-28,142,142,142,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/gondkhari_boundary.geojson,completed,None
MH-001,Gondkhari,2025,Dynamic World V1 (reference_baseline),2025-01-01,2025-12-31,Jan-May & Nov-Dec (Dry Season),2025-01-02,2025-12-28,2025-01-02,2025-12-28,165,165,165,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/gondkhari_boundary.geojson,completed,None
MH-001,Gondkhari,2026,Dynamic World V1 (reference_baseline),2026-01-01,2026-12-31,Jan-May & Nov-Dec (Dry Season),2026-01-02,2026-05-30,2026-01-05,2026-05-30,125,125,125,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/gondkhari_boundary.geojson,partial_current_year,2026-11-01 to 2026-12-31 (future_monitoring_period)
MH-001,Gondkhari,2021,Sentinel-2 SR Harmonized,2021-01-01,2021-12-31,Jan-May & Nov-Dec (Dry Season),2021-01-01,2021-12-29,2021-01-01,2021-12-27,166,124,124,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/gondkhari_boundary.geojson,completed,None
MH-001,Gondkhari,2022,Sentinel-2 SR Harmonized,2022-01-01,2022-12-31,Jan-May & Nov-Dec (Dry Season),2022-01-01,2022-12-29,2022-01-01,2022-12-29,170,143,143,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/gondkhari_boundary.geojson,completed,None
MH-001,Gondkhari,2023,Sentinel-2 SR Harmonized,2023-01-01,2023-12-31,Jan-May & Nov-Dec (Dry Season),2023-01-01,2023-12-29,2023-01-01,2023-12-27,170,126,126,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/gondkhari_boundary.geojson,completed,None
MH-001,Gondkhari,2024,Sentinel-2 SR Harmonized,2024-01-01,2024-12-31,Jan-May & Nov-Dec (Dry Season),2024-01-01,2024-12-28,2024-01-01,2024-12-28,174,123,123,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/gondkhari_boundary.geojson,completed,None
MH-001,Gondkhari,2025,Sentinel-2 SR Harmonized,2025-01-01,2025-12-31,Jan-May & Nov-Dec (Dry Season),2025-01-02,2025-12-28,2025-01-02,2025-12-28,196,154,154,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/gondkhari_boundary.geojson,completed,None
MH-001,Gondkhari,2026,Sentinel-2 SR Harmonized,2026-01-01,2026-12-31,Jan-May & Nov-Dec (Dry Season),2026-01-02,2026-05-30,2026-01-05,2026-05-30,146,119,119,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/gondkhari_boundary.geojson,partial_current_year,2026-11-01 to 2026-12-31 (future_monitoring_period)
MH-002,Gadchiroli,2021,Dynamic World V1 (reference_baseline),2021-01-01,2021-12-31,Jan-May & Nov-Dec (Dry Season),2021-01-03,2021-12-29,2021-01-03,2021-12-24,30,30,30,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/gadchiroli_boundary.geojson,completed,None
