project_id,project_name,year,row,col,latitude,longitude,confidence,spatial_block,spatial_split,B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDBI
MH-001,Gondkhari,2021,40,36,21.171090,78.922433,0.56,MH-001_B1_1,train,1139.25,1443.00,1755.75,2477.00,2934.00,2349.00,0.1704,-0.2638,0.0845
MH-001,Gondkhari,2021,40,37,21.171090,78.922702,0.67,MH-001_B1_1,train,1102.00,1418.00,1692.50,2179.50,2742.00,2298.00,0.1258,-0.2117,0.1143
MH-001,Gondkhari,2021,40,38,21.171090,78.922972,0.44,MH-001_B1_1,train,1378.00,1755.50,1988.00,2451.00,2849.00,2465.00,0.1043,-0.1653,0.0751
MH-001,Gondkhari,2021,41,35,21.170821,78.922163,0.56,MH-001_B1_1,train,1379.00,1746.33,2133.33,2699.00,3056.00,2577.50,0.1171,-0.2143,0.0620
MH-001,Gondkhari,2021,41,36,21.170821,78.922433,0.89,MH-001_B1_1,train,1059.50,1405.00,1734.00,2187.67,2579.75,2171.60,0.1157,-0.2179,0.0822
MH-001,Gondkhari,2021,41,37,21.170821,78.922702,1.00,MH-001_B1_1,train,784.50,1043.75,1291.50,1766.00,2156.00,1755.00,0.1552,-0.2571,0.0994
MH-001,Gondkhari,2021,41,38,21.170821,78.922972,0.67,MH-001_B1_1,train,841.50,1062.00,1154.33,1676.67,1997.00,1596.00,0.1845,-0.2244,0.0872
MH-001,Gondkhari,2021,42,35,21.170551,78.922163,0.67,MH-001_B1_1,train,945.40,1250.75,1564.00,2082.50,2403.25,2044.33,0.1422,-0.2495,0.0715
MH-001,Gondkhari,2021,42,36,21.170551,78.922433,1.00,MH-001_B1_1,train,1052.00,1402.33,1758.00,2122.00,2426.00,2035.00,0.0938,-0.2042,0.0668
MH-001,Gondkhari,2021,42,37,21.170551,78.922702,1.00,MH-001_B1_1,train,1106.67,1452.33,1774.00,2231.17,2420.80,2060.50,0.1141,-0.2114,0.0408
MH-001,Gondkhari,2021,42,38,21.170551,78.922972,0.67,MH-001_B1_1,train,510.33,667.33,779.00,1578.00,1796.25,1251.00,0.3390,-0.4056,0.0647
MH-001,Gondkhari,2021,43,35,21.170282,78.922163,0.56,MH-001_B1_1,train,804.00,1084.00,1323.00,1774.00,2123.67,1732.75,0.1456,-0.2414,0.0897
MH-001,Gondkhari,2021,43,36,21.170282,78.922433,0.89,MH-001_B1_1,train,1146.67,1531.00,1922.00,2309.00,2513.00,2174.50,0.0915,-0.2026,0.0423
MH-001,Gondkhari,2021,43,37,21.170282,78.922702,1.00,MH-001_B1_1,train,1370.50,1779.00,2171.50,2553.33,2787.00,2462.00,0.0808,-0.1787,0.0438
MH-001,Gondkhari,2021,43,38,21.170282,78.922972,0.67,MH-001_B1_1,train,516.25,690.33,843.50,1669.33,2168.00,1458.00,0.3286,-0.4149,0.1300
MH-001,Gondkhari,2021,44,36,21.170012,78.922433,0.67,MH-001_B1_1,train,1091.00,1457.33,1833.67,2253.33,2514.25,2093.00,0.1027,-0.2145,0.0547
MH-001,Gondkhari,2021,44,37,21.170012,78.922702,0.89,MH-001_B1_1,train,1404.00,1829.00,2226.75,2652.50,2954.50,2613.00,0.0873,-0.1838,0.0539
MH-001,Gondkhari,2021,44,38,21.170012,78.922972,0.67,MH-001_B1_1,train,754.00,961.00,1210.00,2039.00,2580.00,2008.00,0.2552,-0.3593,0.1171
MH-001,Gondkhari,2021,45,37,21.169743,78.922702,0.56,MH-001_B1_1,train,1035.67,1332.00,1668.00,2069.67,2554.67,2130.00,0.1075,-0.2169,0.1049
MH-001,Gondkhari,2021,45,38,21.169743,78.922972,0.44,MH-001_B1_1,train,1403.67,1735.00,2006.50,2489.00,2838.00,2384.00,0.1073,-0.1785,0.0655
MH-001,Gondkhari,2021,65,37,21.164353,78.922702,0.56,MH-001_B1_1,train,1085.00,1353.50,1634.50,2365.00,2810.50,2362.50,0.1826,-0.2720,0.0861
MH-001,Gondkhari,2021,65,38,21.164353,78.922972,0.56,MH-001_B1_1,train,1099.00,1438.00,1797.50,2457.67,2917.00,2434.00,0.1551,-0.2617,0.0855
MH-001,Gondkhari,2021,66,36,21.164084,78.922433,0.67,MH-001_B1_1,train,1054.00,1386.33,1706.00,2265.50,2668.50,2312.50,0.1409,-0.2407,0.0817
MH-001,Gondkhari,2021,66,37,21.164084,78.922702,0.89,MH-001_B1_1,train,1164.50,1436.00,1793.00,2376.75,2742.33,2424.50,0.1400,-0.2467,0.0714
MH-001,Gondkhari,2021,66,38,21.164084,78.922972,0.89,MH-001_B1_1,train,1129.50,1461.50,1808.00,2411.50,2751.54,2459.50,0.1430,-0.2453,0.0659
MH-001,Gondkhari,2021,66,39,21.164084,78.923241,0.56,MH-001_B1_1,train,1114.00,1391.00,1782.00,2323.00,2770.00,2413.33,0.1318,-0.2509,0.0878
MH-001,Gondkhari,2021,67,35,21.163814,78.922163,0.62,MH-001_B1_1,train,886.00,1191.42,1492.50,2282.00,2571.75,2152.67,0.2092,-0.3140,0.0597
MH-001,Gondkhari,2021,67,36,21.163814,78.922433,0.89,MH-001_B1_1,train,1057.00,1467.25,1812.00,2248.80,2623.75,2281.00,0.1076,-0.2103,0.0770
MH-001,Gondkhari,2021,67,37,21.163814,78.922702,1.00,MH-001_B1_1,train,1073.50,1495.00,1764.00,2293.67,2617.50,2246.33,0.1305,-0.2108,0.0659
MH-001,Gondkhari,2021,67,38,21.163814,78.922972,1.00,MH-001_B1_1,train,1058.00,1405.00,1683.00,2124.50,2551.33,2122.50,0.1160,-0.2039,0.0913
MH-001,Gondkhari,2021,67,39,21.163814,78.923241,0.67,MH-001_B1_1,train,1042.50,1361.50,1707.50,2137.25,2608.00,2283.00,0.1118,-0.2217,0.0992
MH-001,Gondkhari,2021,68,35,21.163545,78.922163,0.86,MH-001_B1_1,train,818.25,1087.75,1269.33,2199.75,2429.00,1941.00,0.2682,-0.3383,0.0495
MH-001,Gondkhari,2021,68,36,21.163545,78.922433,1.00,MH-001_B1_1,train,1049.00,1328.50,1636.50,2250.75,2584.50,2186.50,0.1580,-0.2577,0.0690
MH-001,Gondkhari,2021,68,37,21.163545,78.922702,1.00,MH-001_B1_1,train,932.50,1250.00,1533.00,2168.00,2490.50,2007.50,0.1716,-0.2686,0.0692
MH-001,Gondkhari,2021,68,38,21.163545,78.922972,1.00,MH-001_B1_1,train,926.50,1186.33,1567.50,2158.75,2497.88,2052.00,0.1587,-0.2907,0.0728
MH-001,Gondkhari,2021,68,39,21.163545,78.923241,0.67,MH-001_B1_1,train,991.00,1359.00,1722.50,2083.00,2513.00,2100.00,0.0947,-0.2103,0.0936
MH-001,Gondkhari,2021,69,35,21.163275,78.922163,1.00,MH-001_B1_1,train,700.50,978.50,1115.00,1976.50,1962.00,1562.00,0.2787,-0.3377,-0.0037
MH-001,Gondkhari,2021,69,36,21.163275,78.922433,1.00,MH-001_B1_1,train,674.33,944.00,1059.67,1913.20,1956.00,1528.00,0.2871,-0.3392,0.0111
MH-001,Gondkhari,2021,69,37,21.163275,78.922702,1.00,MH-001_B1_1,train,785.00,1070.50,1217.00,1939.33,2088.50,1609.00,0.2289,-0.2887,0.0370
MH-001,Gondkhari,2021,69,38,21.163275,78.922972,1.00,MH-001_B1_1,train,865.00,1140.50,1358.75,2068.00,2287.50,1822.67,0.2070,-0.2891,0.0504
MH-001,Gondkhari,2021,69,39,21.163275,78.923241,0.67,MH-001_B1_1,train,938.75,1264.50,1614.00,2118.00,2544.33,2078.58,0.1350,-0.2523,0.0914
MH-001,Gondkhari,2021,73,51,21.162197,78.926475,0.56,MH-001_B1_2,train,881.00,1134.20,1437.50,1801.05,2291.60,1786.33,0.1123,-0.2272,0.1199
MH-001,Gondkhari,2021,73,52,21.162197,78.926744,0.67,MH-001_B1_2,train,866.33,1140.50,1436.75,1796.00,2344.00,1891.00,0.1111,-0.2232,0.1324
MH-001,Gondkhari,2021,73,53,21.162197,78.927014,0.44,MH-001_B1_2,train,1243.67,1564.33,1946.33,2354.50,2747.50,2387.50,0.0949,-0.2016,0.0770
MH-001,Gondkhari,2021,74,49,21.161928,78.925936,0.44,MH-001_B2_2,train,750.00,1010.67,1267.50,1763.75,2204.50,1678.00,0.1637,-0.2714,0.1111
MH-001,Gondkhari,2021,74,50,21.161928,78.926205,0.78,MH-001_B2_2,train,780.50,1084.50,1437.00,1916.67,2340.50,1882.00,0.1430,-0.2773,0.0996
MH-001,Gondkhari,2021,74,51,21.161928,78.926475,0.89,MH-001_B2_2,train,1047.75,1331.50,1718.00,2153.50,2570.75,2162.50,0.1125,-0.2359,0.0883
MH-001,Gondkhari,2021,74,52,21.161928,78.926744,1.00,MH-001_B2_2,train,1195.00,1513.00,1886.00,2260.00,2698.60,2346.33,0.0902,-0.1980,0.0885
MH-001,Gondkhari,2021,74,53,21.161928,78.927014,0.67,MH-001_B2_2,train,1153.67,1559.83,1954.50,2406.00,2812.17,2474.25,0.1035,-0.2134,0.0778
MH-001,Gondkhari,2021,75,49,21.161658,78.925936,0.67,MH-001_B2_2,train,684.33,948.67,1226.50,1796.00,2281.50,1739.50,0.1884,-0.3087,0.1191
MH-001,Gondkhari,2021,75,50,21.161658,78.926205,1.00,MH-001_B2_2,train,988.50,1308.00,1684.25,2066.25,2484.00,2100.00,0.1019,-0.2247,0.0918
MH-001,Gondkhari,2021,75,51,21.161658,78.926475,1.00,MH-001_B2_2,train,1389.50,1727.00,2065.00,2417.12,2702.50,2392.75,0.0786,-0.1665,0.0557
MH-001,Gondkhari,2021,75,52,21.161658,78.926744,1.00,MH-001_B2_2,train,1093.33,1439.00,1811.67,2292.00,2683.50,2343.75,0.1170,-0.2286,0.0787
MH-001,Gondkhari,2021,75,53,21.161658,78.927014,0.67,MH-001_B2_2,train,969.50,1339.00,1775.00,2157.00,2540.67,2206.00,0.0972,-0.2340,0.0817
MH-001,Gondkhari,2021,76,49,21.161389,78.925936,0.67,MH-001_B2_2,train,1189.00,1475.33,1835.25,2231.00,2499.00,2164.50,0.0973,-0.2039,0.0567
MH-001,Gondkhari,2021,76,50,21.161389,78.926205,1.00,MH-001_B2_2,train,1050.50,1422.00,1817.50,2156.00,2491.67,2160.50,0.0852,-0.2051,0.0722
MH-001,Gondkhari,2021,76,51,21.161389,78.926475,1.00,MH-001_B2_2,train,857.50,1219.75,1590.00,1916.00,2331.00,1972.50,0.0930,-0.2220,0.0977
MH-001,Gondkhari,2021,76,52,21.161389,78.926744,0.89,MH-001_B2_2,train,914.75,1244.00,1604.60,1964.50,2317.00,1967.50,0.1008,-0.2246,0.0823
MH-001,Gondkhari,2021,76,53,21.161389,78.927014,0.56,MH-001_B2_2,train,912.25,1260.50,1669.75,1971.75,2244.00,1903.33,0.0829,-0.2200,0.0646
