project_id,project_name,year,confidence_threshold,total_valid_pixels,trees_count,grass_count,crops_count,shrub_count,bare_land_count,built_up_count,water_count
MH-001,Gondkhari,2021,0.50,9179,1545,6,4372,2434,61,758,0
MH-001,Gondkhari,2021,0.60,8421,1355,6,4156,2157,48,698,0
MH-001,Gondkhari,2021,0.70,7209,1049,2,3745,1766,29,618,0
MH-001,Gondkhari,2021,0.80,6194,849,2,3331,1443,28,541,0
MH-001,Gondkhari,2021,0.90,4961,636,2,2825,1024,19,455,0
MH-001,Gondkhari,2022,0.50,9202,1359,9,4318,2647,68,801,0
MH-001,Gondkhari,2022,0.60,8419,1152,8,4086,2390,49,734,0
MH-001,Gondkhari,2022,0.70,7236,868,6,3729,1962,34,637,0
MH-001,Gondkhari,2022,0.80,6321,699,5,3389,1632,32,564,0
MH-001,Gondkhari,2022,0.90,5124,484,3,2932,1215,21,469,0
MH-001,Gondkhari,2023,0.50,9100,1243,11,4427,2515,53,851,0
MH-001,Gondkhari,2023,0.60,8261,1049,10,4139,2223,42,798,0
MH-001,Gondkhari,2023,0.70,7061,797,7,3716,1831,29,681,0
MH-001,Gondkhari,2023,0.80,6064,631,6,3273,1513,25,616,0
MH-001,Gondkhari,2023,0.90,4784,429,5,2731,1080,13,526,0
MH-001,Gondkhari,2024,0.50,9178,1746,9,3414,3055,51,882,0
MH-001,Gondkhari,2024,0.60,8347,1538,9,3150,2793,32,805,0
MH-001,Gondkhari,2024,0.70,7074,1188,6,2771,2360,21,714,0
MH-001,Gondkhari,2024,0.80,6062,942,5,2475,1980,16,631,0
MH-001,Gondkhari,2024,0.90,4837,688,3,2075,1517,9,533,0
MH-001,Gondkhari,2025,0.50,9369,1462,9,4486,2525,48,839,0
MH-001,Gondkhari,2025,0.60,8641,1276,8,4258,2287,37,775,0
MH-001,Gondkhari,2025,0.70,7480,999,6,3863,1919,24,669,0
MH-001,Gondkhari,2025,0.80,6563,805,5,3490,1648,19,596,0
MH-001,Gondkhari,2025,0.90,5406,583,3,2999,1295,13,513,0
MH-002,Gadchiroli,2021,0.50,10899,9158,0,18,1723,0,0,0
MH-002,Gadchiroli,2021,0.60,10531,9002,0,13,1516,0,0,0
MH-002,Gadchiroli,2021,0.70,9894,8666,0,11,1217,0,0,0
MH-002,Gadchiroli,2021,0.80,9302,8291,0,8,1003,0,0,0
MH-002,Gadchiroli,2021,0.90,8439,7715,0,4,720,0,0,0
MH-002,Gadchiroli,2022,0.50,10903,9192,8,13,1690,0,0,0
MH-002,Gadchiroli,2022,0.60,10529,9042,7,4,1476,0,0,0
MH-002,Gadchiroli,2022,0.70,9864,8688,3,4,1169,0,0,0
MH-002,Gadchiroli,2022,0.80,9323,8343,2,3,975,0,0,0
MH-002,Gadchiroli,2022,0.90,8515,7815,1,0,699,0,0,0
MH-002,Gadchiroli,2023,0.50,10850,8851,5,4,1990,0,0,0
MH-002,Gadchiroli,2023,0.60,10464,8691,4,4,1765,0,0,0
MH-002,Gadchiroli,2023,0.70,9731,8305,1,3,1422,0,0,0
