project_id,spatial_block,spatial_split,class_name,sample_count
MH-001,MH-001_B0_0,train,vegetation,1333
MH-001,MH-001_B0_1,train,vegetation,2182
MH-001,MH-001_B0_2,buffer,built_up,8
MH-001,MH-001_B0_2,buffer,vegetation,1757
MH-001,MH-001_B0_3,val,vegetation,287
MH-001,MH-001_B1_0,train,vegetation,944
MH-001,MH-001_B1_1,train,vegetation,2316
MH-001,MH-001_B1_2,buffer,bare_land,18
MH-001,MH-001_B1_2,buffer,vegetation,2076
MH-001,MH-001_B1_3,val,bare_land,1
MH-001,MH-001_B1_3,val,vegetation,1381
MH-001,MH-001_B1_4,val,bare_land,1
MH-001,MH-001_B1_4,val,vegetation,7
MH-001,MH-001_B2_0,buffer,vegetation,676
MH-001,MH-001_B2_1,buffer,bare_land,7
MH-001,MH-001_B2_1,buffer,vegetation,1714
MH-001,MH-001_B2_2,buffer,bare_land,107
MH-001,MH-001_B2_2,buffer,built_up,50
MH-001,MH-001_B2_2,buffer,vegetation,1648
MH-001,MH-001_B2_3,buffer,bare_land,59
MH-001,MH-001_B2_3,buffer,built_up,24
MH-001,MH-001_B2_3,buffer,vegetation,2166
MH-001,MH-001_B2_4,buffer,bare_land,7
MH-001,MH-001_B2_4,buffer,vegetation,1262
MH-001,MH-001_B3_0,train,vegetation,36
MH-001,MH-001_B3_1,train,vegetation,1951
MH-001,MH-001_B3_2,buffer,built_up,23
MH-001,MH-001_B3_2,buffer,vegetation,2162
MH-001,MH-001_B3_3,test,built_up,43
MH-001,MH-001_B3_3,test,vegetation,1876
MH-001,MH-001_B3_4,test,built_up,121
MH-001,MH-001_B3_4,test,vegetation,1440
MH-001,MH-001_B3_5,buffer,built_up,435
MH-001,MH-001_B3_5,buffer,vegetation,649
MH-001,MH-001_B4_1,train,vegetation,1319
MH-001,MH-001_B4_2,buffer,bare_land,2
MH-001,MH-001_B4_2,buffer,built_up,16
MH-001,MH-001_B4_2,buffer,vegetation,1970
MH-001,MH-001_B4_3,test,bare_land,1
MH-001,MH-001_B4_3,test,built_up,85
MH-001,MH-001_B4_3,test,vegetation,1989
MH-001,MH-001_B4_4,test,built_up,11
MH-001,MH-001_B4_4,test,vegetation,1530
MH-001,MH-001_B4_5,buffer,built_up,129
MH-001,MH-001_B4_5,buffer,vegetation,513
MH-001,MH-001_B5_1,buffer,vegetation,12
MH-001,MH-001_B5_2,buffer,built_up,889
MH-001,MH-001_B5_2,buffer,vegetation,573
MH-001,MH-001_B5_3,buffer,built_up,1105
MH-001,MH-001_B5_3,buffer,vegetation,838
MH-001,MH-001_B5_4,buffer,bare_land,1
MH-001,MH-001_B5_4,buffer,built_up,436
MH-001,MH-001_B5_4,buffer,vegetation,1111
MH-001,MH-001_B5_5,buffer,bare_land,4
MH-001,MH-001_B5_5,buffer,built_up,435
MH-001,MH-001_B5_5,buffer,vegetation,332
MH-002,MH-002_B0_0,train,vegetation,371
MH-002,MH-002_B0_1,train,vegetation,1767
MH-002,MH-002_B1_0,train,built_up,11
MH-002,MH-002_B1_0,train,vegetation,1431
MH-002,MH-002_B1_1,train,vegetation,2592
MH-002,MH-002_B1_2,buffer,vegetation,369
MH-002,MH-002_B1_4,val,vegetation,209
MH-002,MH-002_B2_0,buffer,vegetation,1655
MH-002,MH-002_B2_1,buffer,vegetation,3301
MH-002,MH-002_B2_2,buffer,vegetation,1762
MH-002,MH-002_B2_3,buffer,vegetation,2875
MH-002,MH-002_B2_4,buffer,vegetation,2978
MH-002,MH-002_B2_5,buffer,vegetation,1935
MH-002,MH-002_B3_0,train,vegetation,904
MH-002,MH-002_B3_1,train,vegetation,3668
MH-002,MH-002_B3_2,buffer,built_up,16
MH-002,MH-002_B3_2,buffer,vegetation,3109
MH-002,MH-002_B3_3,test,built_up,102
MH-002,MH-002_B3_3,test,vegetation,1812
MH-002,MH-002_B3_4,test,vegetation,2413
MH-002,MH-002_B3_5,buffer,vegetation,2853
MH-002,MH-002_B4_0,train,vegetation,2508
MH-002,MH-002_B4_1,train,vegetation,3100
MH-002,MH-002_B4_2,buffer,vegetation,3557
MH-002,MH-002_B4_3,test,vegetation,926
MH-002,MH-002_B4_4,test,vegetation,178
MH-002,MH-002_B4_5,buffer,vegetation,513
MH-002,MH-002_B5_0,buffer,vegetation,2125
MH-002,MH-002_B5_1,buffer,vegetation,2064
MH-002,MH-002_B5_2,buffer,vegetation,1167
MH-003,MH-003_B0_0,train,built_up,4
MH-003,MH-003_B0_0,train,vegetation,1415
MH-003,MH-003_B0_1,train,vegetation,44
MH-003,MH-003_B0_2,buffer,vegetation,40
MH-003,MH-003_B1_0,train,built_up,97
MH-003,MH-003_B1_0,train,vegetation,1878
MH-003,MH-003_B1_1,train,vegetation,874
MH-003,MH-003_B1_2,buffer,vegetation,288
MH-003,MH-003_B1_3,val,vegetation,66
MH-003,MH-003_B1_4,val,vegetation,43
MH-003,MH-003_B2_0,buffer,vegetation,120
MH-003,MH-003_B4_4,test,vegetation,100
MH-003,MH-003_B5_4,buffer,vegetation,10
MH-003,MH-003_B5_5,buffer,bare_land,57
MH-003,MH-003_B5_5,buffer,vegetation,1128
