project_id,project_name,period,from_year,to_year,comparison_type,median_ndvi_from,median_ndvi_to,median_ndvi_change,veg_area_from_ha,veg_area_to_ha,veg_area_change_ha,veg_area_change_percent,veg_percentage_point_change,note
MH-001,Gondkhari,2021->2022,2021,2022,historical_annual_baseline,0.2654,0.3002,+0.0348,487.800,613.170,+125.370,+25.70,+14.55,Complete dry-season annual baseline comparison
MH-001,Gondkhari,2022->2023,2022,2023,historical_annual_baseline,0.3002,0.2840,-0.0162,613.170,580.140,-33.030,-5.39,-3.83,Complete dry-season annual baseline comparison
MH-001,Gondkhari,2023->2024,2023,2024,historical_annual_baseline,0.2840,0.2966,+0.0126,580.140,598.590,+18.450,+3.18,+2.14,Complete dry-season annual baseline comparison
MH-001,Gondkhari,2024->2025,2024,2025,historical_annual_baseline,0.2966,0.2748,-0.0218,598.590,521.910,-76.680,-12.81,-8.90,Complete dry-season annual baseline comparison
MH-001,Gondkhari,2025->2026,2025,2026,partial_year_comparison,0.2748,0.2356,-0.0392,521.910,364.500,-157.410,-30.16,-18.26,2026 is partial (Jan-May); not directly comparable to complete annual baselines
MH-002,Gadchiroli,2021->2022,2021,2022,historical_annual_baseline,0.4597,0.5232,+0.0635,896.400,930.240,+33.840,+3.78,+3.61,Complete dry-season annual baseline comparison
MH-002,Gadchiroli,2022->2023,2022,2023,historical_annual_baseline,0.5232,0.4684,-0.0548,930.240,898.110,-32.130,-3.45,-3.43,Complete dry-season annual baseline comparison
MH-002,Gadchiroli,2023->2024,2023,2024,historical_annual_baseline,0.4684,0.4448,-0.0236,898.110,885.420,-12.690,-1.41,-1.35,Complete dry-season annual baseline comparison
MH-002,Gadchiroli,2024->2025,2024,2025,historical_annual_baseline,0.4448,0.4693,+0.0245,885.420,898.830,+13.410,+1.51,+1.43,Complete dry-season annual baseline comparison
MH-002,Gadchiroli,2025->2026,2025,2026,partial_year_comparison,0.4693,0.3123,-0.1570,898.830,771.930,-126.900,-14.12,-13.53,2026 is partial (Jan-May); not directly comparable to complete annual baselines
MH-003,Bhivpuri PSP,2021->2022,2021,2022,historical_annual_baseline,0.4520,0.4962,+0.0442,103.320,116.100,+12.780,+12.37,+10.80,Complete dry-season annual baseline comparison
MH-003,Bhivpuri PSP,2022->2023,2022,2023,historical_annual_baseline,0.4962,0.4171,-0.0791,116.100,103.230,-12.870,-11.09,-10.88,Complete dry-season annual baseline comparison
MH-003,Bhivpuri PSP,2023->2024,2023,2024,historical_annual_baseline,0.4171,0.4130,-0.0041,103.230,112.410,+9.180,+8.89,+7.76,Complete dry-season annual baseline comparison
MH-003,Bhivpuri PSP,2024->2025,2024,2025,historical_annual_baseline,0.4130,0.3246,-0.0884,112.410,96.300,-16.110,-14.33,-13.61,Complete dry-season annual baseline comparison
MH-003,Bhivpuri PSP,2025->2026,2025,2026,partial_year_comparison,0.3246,0.1881,-0.1365,96.300,37.890,-58.410,-60.65,-49.35,2026 is partial (Jan-May); not directly comparable to complete annual baselines
