project_id,project_name,year,boundary_area_ha,raster_footprint_area_ha,masked_valid_area_ha,valid_pixel_count,crs,pixel_width_m,pixel_height_m,area_diff_percent,spatial_status
MH-001,Gondkhari,2021,862.255,1597.700,861.930,9577,EPSG:32644,30.0,30.0,0.04,PASS
MH-001,Gondkhari,2022,862.255,1597.700,861.930,9577,EPSG:32644,30.0,30.0,0.04,PASS
MH-001,Gondkhari,2023,862.255,1597.700,861.930,9577,EPSG:32644,30.0,30.0,0.04,PASS
MH-001,Gondkhari,2024,862.255,1597.700,861.930,9577,EPSG:32644,30.0,30.0,0.04,PASS
MH-001,Gondkhari,2025,862.255,1597.700,861.930,9577,EPSG:32644,30.0,30.0,0.04,PASS
MH-001,Gondkhari,2026,862.255,1597.700,861.930,9577,EPSG:32644,30.0,30.0,0.04,PASS
MH-002,Gadchiroli,2021,938.812,2449.554,938.070,10423,EPSG:32644,30.0,30.0,0.08,PASS
MH-002,Gadchiroli,2022,938.812,2449.554,938.070,10423,EPSG:32644,30.0,30.0,0.08,PASS
MH-002,Gadchiroli,2023,938.812,2449.554,938.070,10423,EPSG:32644,30.0,30.0,0.08,PASS
MH-002,Gadchiroli,2024,938.812,2449.554,938.070,10423,EPSG:32644,30.0,30.0,0.08,PASS
MH-002,Gadchiroli,2025,938.812,2449.554,938.070,10423,EPSG:32644,30.0,30.0,0.08,PASS
MH-002,Gadchiroli,2026,938.812,2449.554,938.070,10423,EPSG:32644,30.0,30.0,0.08,PASS
MH-003,Bhivpuri PSP,2021,117.024,3055.146,118.350,1315,EPSG:32643,30.0,30.0,1.13,PASS
MH-003,Bhivpuri PSP,2022,117.024,3055.146,118.350,1315,EPSG:32643,30.0,30.0,1.13,PASS
MH-003,Bhivpuri PSP,2023,117.024,3055.146,118.350,1315,EPSG:32643,30.0,30.0,1.13,PASS
MH-003,Bhivpuri PSP,2024,117.024,3055.146,118.350,1315,EPSG:32643,30.0,30.0,1.13,PASS
MH-003,Bhivpuri PSP,2025,117.024,3055.146,118.350,1315,EPSG:32643,30.0,30.0,1.13,PASS
MH-003,Bhivpuri PSP,2026,117.024,3055.146,118.350,1315,EPSG:32643,30.0,30.0,1.13,PASS
